Puller Meas. (neg) (mm),Carriage Meas. (mm),Num Rollers Pulled,Measurement after rollers pulled (mm),Puller Indicator After Move (neg) (mm),Carriage Indicator After Move (mm)
0,0.01,,,,
0.09,0.07,,,,
0.19,0.06,,,,
0.41,0.16,,,,
0.69,0.26,,,,
0.97,0.35,,,,
1.28,0.48,,,,
1.62,0.76,,,,
1.98,1.21,,,,
2.27,1.54,,,,
2.59,1.97,,,,
2.91,2.38,,,,
3.25,2.84,,,,
3.59,3.28,,,,
3.94,3.72,,,,
4.25,4.09,,,,
4.57,4.44,,,,
4.9,4.87,,,,
5.25,5.34,,,,
5.61,5.82,,,,
5.95,6.33,,,,
6.24,6.77,,,,
6.55,7.18,,,,
6.89,7.63,,,,
7.25,8.06,1,7.99,,
7.6,8.41,,,,
7.94,8.85,,,,
8.25,9.3,,,,
8.56,9.75,,,,
8.88,10.23,,,,
9.23,10.69,,,,
9.59,11.15,,,,
9.94,11.63,,,,
10.26,11.98,,,,
10.57,12.39,,,,
10.9,12.83,,,,
11.23,13.29,,,,
11.6,13.82,,,,
11.94,14.26,,,,
12.25,14.73,,,,
12.56,15.18,,,,
12.89,15.66,,,,
13.23,16.14,1,16.11,,
13.59,16.52,,,,
13.94,16.96,,,,
14.26,17.37,,,,
14.57,17.76,,,,
14.89,18.22,,,,
15.23,18.73,,,,
15.6,19.27,,,,
15.94,19.77,,,,
16.26,20.26,,,,
16.57,20.61,,,,
16.89,21.05,,,,
17.23,21.46,,,,
17.6,21.94,,,,
17.94,22.38,,,,
18.25,22.8,,,,
18.57,23.19,,,,
18.9,23.66,1,23.72,,
19.24,24.16,,,,
19.6,24.66,,,1.66,0.57
2,0.87,,,,
2.33,1.28,,,,
2.64,1.67,,,,
2.96,2.1,,,,
3.29,2.52,,,,
3.65,2.98,,,,
4,3.45,2,3.49,,
4.32,3.91,,,,
4.64,4.35,,,,
4.98,4.71,,,,
5.33,5.11,,,,
5.68,5.59,,,,
6.03,5.99,,,,
6.35,6.4,,,,
6.66,6.77,,,,
7,7.23,1,7.26,,
7.33,7.66,,,,
7.7,8.11,,,,
8.04,8.56,,,,
8.36,8.98,,,,
8.67,9.33,,,,
9,9.7,,,,
9.34,10.1,,,,
9.72,10.51,,,,
10.06,10.88,2,10.91,,
10.38,11.23,,,,
10.7,11.6,,,,
11.03,12.08,,,,
11.36,12.48,,,,
11.73,12.86,,,,
12.07,13.25,,,,
12.39,13.59,,,,
12.71,13.93,,,,
13.03,14.19,,,,
13.36,14.52,,,,
13.74,14.94,3,14.92,,
14.07,15.15,,,,
14.4,15.57,,,,
14.72,15.89,,,,
15.04,16.13,,,,
15.38,16.61,,,,
15.74,16.9,,,,
16.09,17.24,,,,
16.41,17.55,,,,
16.73,17.88,,,,
17.06,18.13,,,,
17.38,18.45,,,,
17.74,18.75,,,,
18.1,19.01,3,18.7,,
18.39,18.9,,,,
18.71,18.96,,,,
19.03,19.16,,,,
19.34,19.29,,,,
19.65,19.53,,,,
19.98,19.65,,,,
20.27,19.8,,,,
20.56,19.92,,,,
20.85,20.02,,,,
21.17,20.17,,,,
21.5,20.31,,,,
21.82,20.48,,,,
22.1,20.57,,,,
22.36,20.6,,,,
22.63,20.66,,,,
