Puller Meas. (neg) (mm),Carriage Meas. (mm),Num Rollers Relaxed,Measurement after rollers relaxed (mm),Puller Indicator After Move (neg) (mm),Carriage Indicator After Move (mm)
24.83,20.79,,,,
24.52,20.72,,,,
24.26,20.66,,,,
23.96,20.52,,,,
23.62,20.41,,,,
23.29,20.19,,,,
22.96,20.07,,,,
22.65,19.98,,,,
22.36,19.74,,,,
22.07,19.58,,,,
21.72,19.43,,,,
21.36,19.17,,,,
21.01,18.91,,,,
20.69,18.59,,,,
20.37,18.38,,,,
20.07,18.07,,,,
19.72,17.7,2,17.85,,
19.36,17.5,,,,
19,17.3,,,,
18.67,16.98,,,,
18.36,16.67,,,,
18.05,16.37,,,,
17.7,16.06,,,,
17.34,15.64,,,,
17,15.27,,,,
16.68,14.93,,,,
16.36,14.56,,,,
16.05,14.23,2,14.36,,
15.69,14.06,,,,
15.32,13.64,,,,
14.98,13.26,,,,
14.65,12.93,,,,
14.35,12.58,,,,
14.04,12.22,,,,
13.67,11.73,,,,
13.3,11.35,,,,
12.96,10.96,,,,
12.64,10.63,2,10.54,,
12.32,10.23,,,,
12.01,9.82,,,,
11.65,9.42,,,,
11.29,8.96,,,,
10.95,8.55,,,,
10.63,8.13,,,,
10.33,7.77,,,,
10,7.32,,,,
9.65,6.89,2,6.95,,
9.28,6.49,,,,
8.94,6.05,,,,
8.61,5.61,,,,
8.3,5.19,,,,
8,4.8,,,,
7.63,4.38,,,,
7.28,3.91,,,,
6.92,3.47,,,,
6.59,3.07,1,3.11,,
6.28,2.73,,,,
5.95,2.29,,,,
5.63,1.85,,,,
5.26,1.35,,,26.64,24.97
26.33,24.82,,,,
26,24.34,,,,
25.69,23.91,,,,
25.36,23.44,,,,
25.02,23,2,23,,
24.67,22.58,,,,
24.33,22.18,,,,
24,21.76,,,,
23.69,21.35,,,,
23.37,20.89,,,,
23.01,20.4,,,,
22.66,19.89,,,,
22.31,19.38,1,19.32,,
22,18.95,,,,
21.7,18.54,,,,
21.37,18.07,,,,
21.01,17.64,,,,
20.64,17.14,,,,
20.31,16.73,,,,
19.98,16.27,,,,
19.69,15.84,,,,
19.37,15.38,,,,
19.01,14.88,,,,
18.65,14.35,,,,
18.3,13.82,,,,
17.98,13.34,,,,
17.67,12.9,,,,
17.36,12.49,,,,
17.01,11.99,,,,
16.66,11.49,1,11.57,,
16.32,11.2,,,,
15.99,10.74,,,,
15.69,10.32,,,,
15.37,9.85,,,,
15.02,9.36,,,,
14.66,8.85,,,,
14.32,8.35,,,,
13.99,7.89,,,,
13.69,7.5,,,,
13.36,7.05,,,,
13.01,6.58,,,,
12.68,6.19,,,,
12.32,5.74,,,,
11.98,5.32,1,5.39,,
11.68,4.98,,,,
11.35,4.53,,,,
11.01,4.07,,,,
10.66,3.57,,,,
10.34,3.12,,,,
10.01,2.71,,,,
9.7,2.29,,,,
9.36,1.88,,,,
9.01,1.43,,,,
8.67,1.03,,,,
8.34,0.64,,,,
8.03,0.4,,,,
7.73,0.35,,,,
7.4,0.31,,,,
7.06,0.24,,,,
6.75,0.09,,,,
6.48,-0.01,,,,
6.24,-0.13,,,,
6.21,-0.12,,,,
5.96,-0.16,,,,
5.72,-0.15,,,,
