Puller Meas. (neg) (mm),Carriage Meas. (mm),Num Rollers Pulled,Measurement after rollers pulled (mm),Puller Indicator After Move (neg) (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm)
1.18,0,,,,,67.41,112.52
1.3,0.04,,,,,,
1.37,0.07,,,,,,
1.58,0.13,,,,,,
1.85,0.2,,,,,,
2.17,0.34,,,,,,
2.48,0.64,,,,,,
2.86,1.08,,,,,,
3.2,1.48,,,,,,
3.5,1.89,,,,,,
3.8,2.25,,,,,,
4.13,2.7,,,,,,
4.48,3.14,,,,,,
4.83,3.61,,,,,,
5.19,4.12,,,,,,
5.5,4.57,,,,,,
5.8,4.95,,,,,,
6.12,5.36,,,,,,
6.46,5.81,,,,,,
6.82,6.27,1,6.14,,,,
7.16,6.55,,,,,,
7.48,6.99,,,,,,
7.8,7.43,,,,,,
8.12,7.86,,,,,,
8.46,8.36,,,,,,
8.81,8.9,,,,,,
9.15,9.33,,,,,,
9.47,9.76,,,,,,
9.78,10.18,,,,,,
10.11,10.59,,,,,,
10.46,11.06,,,,,,
10.81,11.51,,,,,,
11.16,11.96,,,,,,
11.46,12.39,,,,,,
11.78,12.84,,,,,,
12.11,13.28,,,,,,
12.44,13.74,1,13.79,,,,
12.82,14.3,,,,,,
13.16,14.77,,,,,,
13.47,15.18,,,,,,
13.77,15.55,,,,,,
14.1,15.99,,,,,,
14.45,16.46,,,,,,
14.82,16.93,,,,,,
15.16,17.38,,,,,,
15.47,17.79,,,,,,
15.77,18.25,,,,,,
16.11,18.7,,,,,,
16.44,19.18,,,,,,
16.82,19.71,,,,,,
17.15,20.16,,,,,,
17.46,20.61,1,20.62,,,,
17.76,20.93,,,,,,
18.09,21.4,,,,,,
18.43,21.85,,,,,,
18.81,22.32,,,,,,
19.16,22.79,,,,,,
19.48,23.18,,,0.41,0.28,,
0.67,0.55,,,,,,
1.01,1.02,,,,,,
1.36,1.46,2,1.51,,,,
1.71,1.95,,,,,,
2.07,2.43,,,,,,
2.39,2.8,,,,,,
2.7,3.2,,,,,,
3.03,3.62,,,,,,
3.36,4.09,,,,,,
3.73,4.5,,,,,,
4.06,4.94,1,4.98,,,,
4.39,5.34,,,,,,
4.71,5.74,,,,,,
5.03,6.16,,,,,,
5.39,6.64,,,,,,
5.74,7.1,,,,,,
6.09,7.56,,,,,,
6.41,7.98,2,7.94,,,,
6.72,8.26,,,,,,
7.05,8.63,,,,,,
7.4,9.04,,,,,,
7.76,9.42,,,,,,
8.1,9.88,,,,,,
8.42,10.26,,,,,,
8.73,10.61,,,,,,
9.05,11,,,,,,
9.39,11.42,1,11.46,,,,
9.77,11.84,,,,,,
10.11,12.29,,,,,,
10.43,12.67,,,,,,
10.75,13.01,,,,,,
11.07,13.39,,,,,,
11.41,13.74,,,,,,
11.78,14.21,,,,,,
12.12,14.59,,,,,,
12.45,14.89,2,14.97,,,,
12.77,15.21,,,,,,
13.1,15.54,,,,,,
13.44,15.89,,,,,,
13.8,16.22,,,,,,
14.14,16.52,,,,,,
14.45,16.88,,,,,,
14.78,17.25,,,,,,
15.09,17.48,,,,,,
15.45,17.8,,,,,,
15.8,18.14,,,,,,
16.15,18.45,,,,,,
16.47,18.79,,,,,,
16.78,18.93,,,,,,
17.11,19.34,,,,,,
17.45,19.61,,,,,,
17.82,19.86,,,,,,
18.15,20.14,,,,,,
18.46,20.33,,,,,,
18.77,20.59,,,,,,
19.09,20.76,,,,,,
19.41,20.93,,,,,,
19.73,21.12,,,,,,
20.05,21.24,,,,,,
20.34,21.38,,,,,,
20.62,21.5,,,,,,
20.93,21.62,,,,,,
21.24,21.76,,,,,,
21.57,21.81,,,,,,
21.86,21.86,,,,,,
22.13,21.89,,,,,,
22.4,21.94,,,,,,
22.66,21.95,,,,,,
22.95,22.05,,,,,,
23.26,22.1,,,,,,
