Puller Meas. (neg) (mm),Carriage Meas. (mm),Num Rollers Pulled,Measurement after rollers pulled (mm),Puller Indicator After Move (neg) (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm)
23.35,21.85,,,,,67.41,112.07
23.03,22.09,,,,,,
22.76,22.02,,,,,,
22.48,21.96,,,,,,
22.22,21.84,,,,,,
21.93,21.82,,,,,,
21.6,21.61,,,,,,
21.26,21.49,,,,,,
20.93,21.32,,,,,,
20.62,21.28,,,,,,
20.33,21.1,,,,,,
20.02,20.96,,,,,,
19.7,20.76,,,,,,
19.33,20.5,,,,,,
18.97,20.24,,,,,,
18.66,19.81,,,,,,
18.34,19.68,,,,,,
18.03,19.42,,,,,,
17.68,19.16,,,,,,
17.32,18.89,,,,,,
16.99,18.55,,,,,,
16.66,18.37,,,,,,
16.36,18.05,,,,,,
16.05,17.68,,,,,,
15.68,17.41,,,,,,
15.33,17.02,,,,,,
14.99,16.75,,,,,,
14.66,16.44,,,,,,
14.35,16.16,,,,,,
14.04,15.96,,,,,,
13.69,15.55,,,,,,
13.31,15.1,,,,,,
12.96,14.76,2,14.81,,,,
12.63,14.49,,,,,,
12.33,14.17,,,,,,
12,13.8,,,,,,
11.65,13.36,,,,,,
11.28,12.91,,,,,,
10.96,12.55,,,,,,
10.63,12.16,,,,,,
10.32,11.79,,,,,,
10,11.41,,,,,,
9.64,10.95,2,10.92,,,,
9.28,10.59,,,,,,
8.93,10.24,,,,,,
8.62,9.9,,,,,,
8.3,9.44,,,,,,
7.99,9.04,,,,,,
7.64,8.58,,,,,,
7.25,8.08,,,,,,
6.92,7.72,2,7.86,,,,
6.58,7.49,,,,,,
6.28,7.08,,,,,,
5.96,6.67,,,,,,
5.61,6.19,,,,,,
5.25,5.71,,,,,,
4.9,5.26,,,,,,
4.59,4.81,,,,,,
4.27,4.38,,,,,,
3.95,3.92,2,3.94,,,,
3.6,3.52,,,,,,
3.25,3.06,,,,,,
2.91,2.61,,,,,,
2.58,2.17,,,,,,
2.27,1.78,,,,,,
1.94,1.32,,,,,,
1.58,0.85,1,0.87,,,,
1.22,0.41,,,,,,
0.88,0.02,,,25.98,25.07,,
25.66,24.71,,,,,,
25.35,24.27,,,,,,
25.03,23.81,,,,,,
24.69,23.29,,,,,,
24.34,22.8,,,,,,
23.99,22.32,2,22.4,,,,
23.64,21.97,,,,,,
23.34,21.61,,,,,,
23.03,21.21,,,,,,
22.67,20.74,,,,,,
22.32,20.24,,,,,,
21.99,19.77,,,,,,
21.66,19.29,,,,,,
21.34,18.83,1,18.79,,,,
21.02,18.36,,,,,,
20.65,17.86,,,,,,
20.3,17.38,,,,,,
19.96,16.93,,,,,,
19.65,16.54,,,,,,
19.34,16.12,,,,,,
19.03,15.71,,,,,,
18.66,15.2,,,,,,
18.3,14.69,,,,,,
17.97,14.22,,,,,,
17.64,13.74,,,,,,
17.34,13.27,,,,,,
17.02,12.82,,,,,,
16.68,12.35,1,12.4,,,,
16.32,11.97,,,,,,
15.98,11.55,,,,,,
15.65,11.13,,,,,,
15.35,10.7,,,,,,
15.03,10.26,,,,,,
14.67,9.75,,,,,,
14.33,9.23,,,,,,
13.98,8.79,,,,,,
13.65,8.34,,,,,,
13.34,7.93,,,,,,
13.03,7.5,,,,,,
12.68,7.07,,,,,,
12.32,6.63,,,,,,
11.98,6.2,,,,,,
11.65,5.77,,,,,,
11.35,5.38,1,5.47,,,,
11.02,5.04,,,,,,
10.68,4.56,,,,,,
10.35,4.07,,,,,,
10.02,3.69,,,,,,
9.68,3.26,,,,,,
9.34,2.87,,,,,,
9.04,2.68,,,,,,
8.7,2.68,,,,,,
8.4,2.58,,,,,,
8.1,2.51,,,,,,
7.79,2.35,,,,,,
7.52,2.18,,,,,,
7.39,2.1,,,,,,
7.25,2.05,,,,,,
7.08,2.02,,,,,,
