Puller Meas. (mm),Carriage Meas. (mm),Num rollers pulled,Measurement after rollers pulled (mm),Puller Indicator After Move (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm),Exclude Cable Pull Greater Than (mm)
0.00,0.01,,,,,,,44
-0.23,0.06,,,,,,,
-0.32,0.06,,,,,,,
-0.66,0.24,,,,,,,
-0.99,0.49,,,,,,,
-1.30,0.64,,,,,,,
-1.60,0.83,,,,,,,
-1.93,1.10,,,,,,,
-2.27,1.40,,,,,,,
-2.62,1.68,,,,,,,
-2.92,1.88,,,,,,,
-3.24,2.16,,,,,,,
-3.57,2.50,,,,,,,
-3.91,2.76,,,,,,,
-4.26,3.09,,,,,,,
-4.59,3.36,,,,,,,
-4.89,3.63,,,,,,,
-5.22,3.91,,,,,,,
-5.55,4.18,1,4.20,,,,,
-5.88,4.47,,,,,,,
-6.23,4.81,,,,,,,
-6.55,5.10,,,,,,,
-6.86,5.35,,,,,,,
-7.18,5.60,,,,,,,
-7.52,5.91,,,,,,,
-7.87,6.23,,,,,,,
-8.21,6.63,,,,,,,
-8.53,6.89,,,,,,,
-8.83,7.17,,,,,,,
-9.17,7.57,,,,,,,
-9.51,7.92,,,,,,,
-9.86,8.18,1,8.25,,,,,
-10.21,8.52,,,,,,,
-10.52,8.83,,,,,,,
-10.82,9.10,,,,,,,
-11.15,9.42,,,,,,,
-11.50,9.79,,,,,,,
-11.84,10.13,,,,,,,
-12.18,10.52,,,,,,,
-12.50,10.86,,,,,,,
-12.81,11.15,,,,,,,
-13.13,11.49,,,,,,,
-13.48,11.83,,,,,,,
-13.85,12.27,1,12.25,,,,,
-14.18,12.56,,,,,,,
-14.50,12.89,,,,,,,
-14.81,13.22,,,,,,,
-15.13,13.47,,,,,,,
-15.48,13.90,,,,,,,
-15.84,14.25,,,,,,,
-16.18,14.63,,,,,,,
-16.48,14.92,,,,,,,
-16.78,15.22,,,,,,,
-17.13,15.60,,,,,,,
-17.47,16.00,,,,,,,
-17.82,16.34,1,16.32,,,,,
-18.17,16.68,,,,,,,
-18.48,17.01,,,,,,,
-18.78,17.30,,,,,,,
-19.12,17.68,,,,,,,
-19.46,17.99,,,,,,,
-19.83,18.38,,,,,,,
-20.16,18.73,,,,,,,
-20.46,19.05,,,,,,,
-20.77,19.40,,,,,,,
-21.11,19.79,,,,,,,
-21.47,20.19,,,,,,,
-21.81,20.55,1,20.58,,,,,
-22.16,20.89,,,,,,,
-22.47,21.22,,,,,,,
-22.77,21.53,,,,,,,
-23.10,21.86,,,,,,,
-23.46,22.27,,,,,,,
-23.81,22.63,,,,,,,
-24.16,23.06,,,,,,,
-24.45,23.33,,,0.57,0.58,,,
0.26,0.93,,,,,,,
-0.10,1.32,,,,,,,
-0.44,1.72,,,,,,,
-0.78,2.01,2,2.03,,,,,
-1.14,2.42,,,,,,,
-1.45,2.72,,,,,,,
-1.75,3.07,,,,,,,
-2.09,3.45,,,,,,,
-2.46,3.87,,,,,,,
-2.80,4.25,,,,,,,
-3.14,4.65,,,,,,,
-3.44,4.94,,,,,,,
-3.76,5.26,,,,,,,
-4.08,5.59,,,,,,,
-4.43,5.94,,,,,,,
-4.78,6.34,3,6.30,,,,,
-5.15,6.73,,,,,,,
-5.46,7.00,,,,,,,
-5.76,7.38,,,,,,,
-6.08,7.66,,,,,,,
-6.43,8.00,,,,,,,
-6.79,8.44,,,,,,,
-7.12,8.78,,,,,,,
-7.44,9.03,,,,,,,
-7.77,9.41,,,,,,,
-8.08,9.74,,,,,,,
-8.43,10.06,,,,,,,
-8.79,10.51,3,10.42,,,,,
-9.13,10.74,,,,,,,
-9.45,11.03,,,,,,,
-9.76,11.39,,,,,,,
-10.44,12.00,,,,,,,
-10.78,12.45,,,,,,,
-11.13,12.74,,,,,,,
-11.44,13.06,,,,,,,
-11.76,13.41,,,,,,,
-12.09,13.85,,,,,,,
-12.42,14.10,,,,,,,
-12.79,14.47,4,14.46,,,,,
-13.12,14.64,,,,,,,
-13.44,14.93,,,,,,,
-13.75,15.19,,,,,,,
-14.07,15.55,,,,,,,
-14.41,16.17,,,,,,,
-14.76,16.36,,,,,,,
-15.08,16.50,,,,,,,
-15.42,17.01,,,,,,,
-15.74,17.35,,,,,,,
-16.05,17.67,,,,,,,
-16.37,18.02,,,,,,,
-16.72,18.36,,,,,,,
-17.07,18.70,,,,,,,
-17.39,19.09,,,,,,,
-17.70,19.51,,,,,,,
-18.01,19.84,,,,,,,
-18.33,20.19,,,,,,,
-18.67,20.49,,,,,,,
-19.00,20.90,,,,,,,
-19.32,21.16,,,,,,,
-19.62,21.48,,,,,,,
-19.93,21.81,,,,,,,
-20.24,22.13,,,,,,,
-20.56,22.36,,,,,,,
-20.88,22.62,,,,,,,
-21.18,22.81,,,,,,,
-21.45,22.94,,,,,,,
-21.72,23.11,,,,,,,
-22.02,23.32,,,,,,,
-22.32,23.48,,,,,,,
-22.61,23.52,,,,,66.5,112.72,
