Puller Meas. (mm),Carriage Meas. (mm),Num rollers relaxed,Measurement after rollers relaxed (mm),Puller Indicator After Move (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm),Exclude Cable Pull Greater Than (mm)
-22.65,23.82,,,,,,,
-22.38,23.79,,,,,,,
-22.14,23.85,,,,,,,
-21.88,23.84,,,,,,,
-21.60,23.76,,,,,,,
-21.30,23.56,,,,,,,
-21.01,23.27,,,,,,,
-20.67,22.86,,,,,,,
-20.33,22.48,,,,,,,
-20.01,22.07,,,,,,,
-19.69,21.73,,,,,,,
-19.38,21.29,,,,,,,
-19.05,20.94,,,,,,,
-18.72,20.52,,,,,,,
-18.38,20.06,,,,,,,
-18.02,19.68,,,,,,,
-17.70,19.35,,,,,,,
-17.41,18.96,,,,,,,
-17.08,18.60,,,,,,,
-16.73,18.20,,,,,,,
-16.38,17.87,,,,,,,
-16.05,17.46,,,,,,,
-15.72,17.06,,,,,,,
-15.41,16.78,,,,,,,
-15.09,16.39,,,,,,,
-14.73,16.04,,,,,,,
-14.40,15.68,,,,,,,
-14.05,15.39,,,,,,,
-13.71,14.98,,,,,,,
-13.41,14.73,,,,,,,
-13.09,14.32,,,,,,,
-12.74,13.93,,,,,,,
-12.38,13.61,,,,,,,
-12.04,13.30,,,,,,,
-11.72,12.94,,,,,,,
-11.42,12.57,,,,,,,
-11.08,12.26,,,,,,,
-10.74,11.91,,,,,,,
-10.39,11.54,,,,,,,
-10.04,11.26,3,11.45,,,,,
-9.72,11.18,,,,,,,
-9.41,10.83,,,,,,,
-9.09,10.46,,,,,,,
-8.74,10.12,,,,,,,
-8.40,9.70,,,,,,,
-8.05,9.36,,,,,,,
-7.72,9.00,,,,,,,
-7.41,8.64,,,,,,,
-7.08,8.30,,,,,,,
-6.73,7.92,,,,,,,
-6.39,7.53,,,,,,,
-6.05,7.25,2,7.29,,,,,
-5.71,6.94,,,,,,,
-5.40,6.57,,,,,,,
-5.08,6.27,,,,,,,
-4.72,5.89,,,,,,,
-4.39,5.50,,,,,,,
-4.05,5.12,,,,,,,
-3.70,4.78,,,,,,,
-3.39,4.43,,,,,,,
-3.08,4.07,,,,,,,
-2.73,3.75,,,,,,,
-2.39,3.36,,,,,,,
-2.04,2.98,2,3.00,,,,,
-1.70,2.67,,,,,,,
-1.40,2.39,,,,,,,
-1.06,1.97,,,,,,,
-0.72,1.63,,,,,,,
-0.38,1.25,,,,,,,
-0.04,0.88,,,,,,,
0.31,0.52,,,,,,,
0.62,0.17,,,-22.97,23.57,,,
-22.65,23.22,,,,,,,
-22.31,22.84,,,,,,,
-21.96,22.49,,,,,,,
-21.61,22.12,2,22.15,,,,,
-21.27,21.80,,,,,,,
-20.97,21.46,,,,,,,
-20.65,21.07,,,,,,,
-20.30,20.77,,,,,,,
-19.95,20.37,,,,,,,
-19.62,20.01,,,,,,,
-19.29,19.69,,,,,,,
-18.96,19.31,,,,,,,
-18.65,18.97,,,,,,,
-18.31,18.64,,,,,,,
-17.95,18.24,,,,,,,
-17.62,17.92,1,17.94,,,,,
-17.28,17.64,,,,,,,
-16.96,17.26,,,,,,,
-16.63,16.92,,,,,,,
-16.29,16.58,,,,,,,
-15.95,16.22,,,,,,,
-15.63,15.84,,,,,,,
-15.30,15.53,,,,,,,
-14.97,15.16,,,,,,,
-14.63,14.79,,,,,,,
-14.30,14.49,,,,,,,
-13.95,14.11,,,,,,,
-13.63,13.79,1,13.80,,,,,
-13.28,13.45,,,,,,,
-12.97,13.11,,,,,,,
-12.64,12.84,,,,,,,
-12.29,12.44,,,,,,,
-11.96,12.12,,,,,,,
-11.64,11.77,,,,,,,
-11.30,11.43,,,,,,,
-10.96,11.06,,,,,,,
-10.63,10.78,,,,,,,
-10.29,10.39,,,,,,,
-9.97,10.05,,,,,,,
-9.63,9.72,1,9.71,,,,,
-9.30,9.39,,,,,,,
-8.97,9.10,,,,,,,
-8.62,8.73,,,,,,,
-8.30,8.42,,,,,,,
-7.97,8.15,,,,,,,
-7.64,7.85,,,,,,,
-7.31,7.58,,,,,,,
-6.97,7.24,,,,,,,
-6.63,6.94,,,,,,,
-6.31,6.65,,,,,,,
-5.97,6.33,,,,,,,
-5.65,6.02,,,,,,,
-5.32,5.72,1,5.72,,,,,
-4.97,5.42,,,,,,,
-4.63,5.10,,,,,,,
-4.29,4.81,,,,,,,
-3.98,4.57,,,,,,,
-3.66,4.26,,,,,,,
-3.32,3.96,,,,,,,
-3.01,3.71,,,,,,,
-2.64,3.41,,,,,,,
-2.30,3.11,,,,,,,
-1.98,2.83,,,,,,,
-1.67,2.60,,,,,,,
-1.34,2.32,,,,,,,
-1.00,2.10,,,,,,,
-0.64,1.79,,,,,,,
-0.30,1.56,1,1.48,,,,,
-0.02,1.34,,,,,,,
0.31,1.10,,,,,,,
0.64,0.90,,,,,,,
0.95,0.81,,,,,,,
1.14,0.70,,,,,,,
1.29,0.68,,,,,66.51,113.15,
