Puller Meas. (mm),Carriage Meas. (mm),Num rollers pulled,Measurement after rollers pulled (mm),Puller Indicator After Move (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm),Exclude Cable Pull Greater Than (mm)
0.00,0.01,,,,,,,
-0.41,0.10,,,,,,,
-0.71,0.31,,,,,,,
-1.37,0.77,,,,,,,
-2.02,1.30,,,,,,,
-2.65,1.79,,,,,,,
-3.33,2.32,,,,,,,
-3.96,2.84,,,,,,,
-4.60,3.39,,,,,,,
-5.28,4.03,1,4.00,,,,,
-5.92,4.59,,,,,,,
-6.57,5.15,,,,,,,
-7.24,5.79,,,,,,,
-7.87,6.42,,,,,,,
-8.56,7.11,,,,,,,
-9.21,7.65,,,,,,,
-9.84,8.27,1,8.26,,,,,
-10.52,8.93,,,,,,,
-11.18,9.60,,,,,,,
-11.79,10.24,,,,,,,
-12.48,10.94,,,,,,,
-13.15,11.67,,,,,,,
-13.77,12.31,1,12.32,,,,,
-14.47,13.02,,,,,,,
-15.11,13.68,,,,,,,
-15.73,14.29,,,,,,,
-16.41,15.05,,,,,,,
-17.07,15.73,,,,,,,
-17.67,16.34,1,16.36,,,,,
-18.37,17.07,,,,,,,
-19.03,17.77,,,,,,,
-19.64,18.40,,,,,,,
-20.34,19.15,,,,,,,
-20.97,19.80,,,,,,,
-21.60,20.48,1,20.48,,,,,
-22.28,21.21,,,,,,,
-22.92,21.92,,,,,,,
-23.55,22.59,,,,,,,
-24.24,23.32,,,,,,,
-24.90,24.11,,,0.24,0.42,,,
-0.36,1.05,2,1.04,,,,,
-1.07,1.73,,,,,,,
-1.71,2.44,,,,,,,
-2.35,3.11,,,,,,,
-3.04,3.88,,,,,,,
-3.70,4.59,,,,,,,
-4.32,5.24,,,,,,,
-5.04,6.00,2,6.01,,,,,
-5.69,6.71,,,,,,,
-6.34,7.38,,,,,,,
-7.01,8.06,,,,,,,
-7.69,8.77,,,,,,,
-8.31,9.38,,,,,,,
-9.01,10.10,2,10.12,,,,,
-9.67,10.82,,,,,,,
-10.32,11.54,,,,,,,
-11.01,12.12,,,,,,,
-11.66,12.91,,,,,,,
-12.29,13.55,,,,,,,
-12.98,14.32,3,14.07,,,,,
-13.65,14.61,,,,,,,
-14.29,15.32,,,,,,,
-14.98,16.16,,,,,,,
-15.64,16.83,,,,,,,
-16.27,17.57,,,,,,,
-16.94,18.33,,,,,,,
-17.60,19.06,,,,,,,
-18.22,19.72,,,,,,,
-18.86,20.47,,,,,,,
-19.50,21.03,,,,,,,
-20.06,21.54,,,,,67.01,112.02,
