Puller Meas. (mm),Carriage Meas. (mm),Num rollers relaxed,Measurement after rollers relaxed (mm),Puller Indicator After Move (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm),Exclude Cable Pull Greater Than (mm)
-21.54,21.20,,,,,,,
-21.02,21.23,,,,,,,
-20.43,20.99,,,,,,,
-19.82,20.18,,,,,,,
-19.17,19.38,,,,,,,
-18.49,18.57,,,,,,,
-17.87,17.85,,,,,,,
-17.20,17.06,,,,,,,
-16.51,16.25,,,,,,,
-15.87,15.47,,,,,,,
-15.20,14.84,,,,,,,
-14.51,14.06,3,14.31,,,,,
-13.88,13.70,,,,,,,
-13.20,13.00,,,,,,,
-12.51,12.26,,,,,,,
-11.88,11.59,,,,,,,
-11.20,10.94,,,,,,,
-10.51,10.21,2,10.19,,,,,
-9.87,9.52,,,,,,,
-9.19,8.83,,,,,,,
-8.51,8.11,,,,,,,
-7.86,7.37,,,,,,,
-7.20,6.69,,,,,,,
-6.51,5.95,2,5.93,,,,,
-5.86,5.25,,,,,,,
-5.19,4.56,,,,,,,
-4.50,3.82,,,,,,,
-3.85,3.14,,,,,,,
-3.20,2.45,,,,,,,
-2.51,1.69,,,,,,,
-1.85,0.99,2,1.00,,,,,
-1.19,0.27,,,-24.50,23.38,,,
-23.79,22.63,,,,,,,
-23.16,21.95,,,,,,,
-22.49,21.21,,,,,,,
-21.80,20.45,,,,,,,
-21.15,19.74,1,19.74,,,,,
-20.49,19.05,,,,,,,
-19.80,18.34,,,,,,,
-19.16,17.61,,,,,,,
-18.49,16.99,,,,,,,
-17.81,16.25,,,,,,,
-17.16,15.54,1,15.55,,,,,
-16.50,14.88,,,,,,,
-15.80,14.16,,,,,,,
-15.26,13.61,,,,,,,
-14.60,12.92,,,,,,,
-13.93,12.21,,,,,,,
-13.26,11.51,1,11.51,,,,,
-12.60,10.79,,,,,,,
-11.93,10.07,,,,,,,
-11.27,9.45,,,,,,,
-10.60,8.76,,,,,,,
-9.94,8.12,,,,,,,
-9.27,7.44,1,7.47,,,,,
-8.60,6.79,,,,,,,
-7.95,6.20,,,,,,,
-7.28,5.54,,,,,,,
-6.61,4.95,,,,,,,
-5.97,4.39,,,,,,,
-5.29,3.73,,,,,,,
-4.61,3.17,1,3.18,,,,,
-3.96,2.60,,,,,,,
-3.30,2.05,,,,,,,
-2.62,1.45,,,,,,,
-1.99,0.93,,,,,,,
-1.34,0.40,,,,,,,
-0.63,-0.09,,,,,,,
-0.02,-0.57,,,,,,,
0.63,-0.97,,,,,,,
0.96,-1.26,,,,,,,
0.97,-1.39,,,,,67.06,112.72,
