Puller Meas. (mm),Carriage Meas. (mm),Num rollers relaxed,Measurement after rollers relaxed (mm),Puller Indicator After Move (neg) (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm),Exclude Cable Pull Greater Than (mm)
-19.96,19.91,,,,,68.86,110.34,33.7
-19.72,19.86,,,,,,,
-19.44,19.78,,,,,,,
-19.14,19.47,,,,,,,
-18.84,19.36,,,,,,,
-18.55,19.32,,,,,,,
-18.27,19.26,,,,,,,
-17.99,19.16,,,,,,,
-17.67,18.94,,,,,,,
-17.31,18.63,,,,,,,
-16.98,18.34,,,,,,,
-16.65,18.04,,,,,,,
-16.35,17.66,,,,,,,
-16.03,17.35,,,,,,,
-15.68,16.95,,,,,,,
-15.32,16.48,,,,,,,
-14.97,16.08,,,,,,,
-14.64,15.72,,,,,,,
-14.34,15.27,,,,,,,
-14.02,14.85,,,,,,,
-13.67,14.42,,,,,,,
-13.3,14,,,,,,,
-12.96,13.53,,,,,,,
-12.63,13.15,,,,,,,
-12.33,12.79,,,,,,,
-12.02,12.42,,,,,,,
-11.66,11.97,,,,,,,
-11.3,11.61,,,,,,,
-10.96,11.23,,,,,,,
-10.63,10.83,,,,,,,
-10.32,10.42,,,,,,,
-10.01,10.08,3,10.46,,,,,
-9.66,10.13,,,,,,,
-9.29,9.66,,,,,,,
-8.95,9.22,,,,,,,
-8.63,8.77,,,,,,,
-8.32,8.45,,,,,,,
-7.99,8.05,,,,,,,
-7.65,7.69,,,,,,,
-7.28,7.21,,,,,,,
-6.94,6.79,,,,,,,
-6.61,6.39,2,6.7,,,,,
-6.3,6.33,,,,,,,
-5.99,5.91,,,,,,,
-5.64,5.53,,,,,,,
-5.28,5.08,,,,,,,
-4.93,4.65,,,,,,,
-4.61,4.21,,,,,,,
-4.29,3.78,,,,,,,
-3.97,3.42,,,,,,,
-3.63,3,,,,,,,
-3.28,2.55,2,2.64,,,,,
-2.92,2.15,,,,,,,
-2.59,1.77,,,,,,,
-2.28,1.34,,,,,,,
-1.97,1,,,,,,,
-1.61,0.56,,,,,,,
-1.26,0.05,,,-23.23,23.21,,,
-22.89,22.77,,,,,,,
-22.56,22.29,2,22.46,,,,,
-22.24,22.06,,,,,,,
-21.94,21.7,,,,,,,
-21.59,21.27,,,,,,,
-21.23,20.78,,,,,,,
-20.87,20.34,,,,,,,
-20.55,19.91,,,,,,,
-20.24,19.48,,,,,,,
-19.92,19.13,,,,,,,
-19.57,18.64,1,18.65,,,,,
-19.22,18.21,,,,,,,
-18.87,17.77,,,,,,,
-18.54,17.36,,,,,,,
-18.24,16.88,,,,,,,
-17.92,16.53,,,,,,,
-17.56,16.05,,,,,,,
-17.2,15.68,,,,,,,
-16.86,15.2,,,,,,,
-16.54,14.73,1,14.77,,,,,
-16.23,14.42,,,,,,,
-15.91,13.99,,,,,,,
-15.55,13.54,,,,,,,
-15.2,13.03,,,,,,,
-14.86,12.63,,,,,,,
-14.53,12.21,,,,,,,
-14.22,11.78,,,,,,,
-13.9,11.32,,,,,,,
-13.55,10.86,1,10.87,,,,,
-13.19,10.48,,,,,,,
-12.85,10.07,,,,,,,
-12.52,9.64,,,,,,,
-12.22,9.14,,,,,,,
-11.89,8.84,,,,,,,
-11.54,8.36,,,,,,,
-11.19,7.9,,,,,,,
-10.86,7.49,,,,,,,
-10.52,7.06,1,7.03,,,,,
-10.21,6.62,,,,,,,
-9.88,6.2,,,,,,,
-9.53,5.77,,,,,,,
-9.18,5.33,,,,,,,
-8.86,4.89,,,,,,,
-8.53,4.48,,,,,,,
-8.21,4.09,,,,,,,
-7.89,3.63,,,,,,,
-7.53,3.19,1,3.12,,,,,
-7.2,2.85,,,,,,,
-6.87,2.47,,,,,,,
-6.54,2.18,,,,,,,
-6.23,1.97,,,,,,,
-5.91,1.76,,,,,,,
-5.57,1.55,,,,,,,
-5.25,1.34,,,,,,,
-4.94,1.29,,,,,,,
-4.63,1.26,,,,,,,
-4.29,1.25,,,,,,,
-4.21,1.25,,,,,,,
-4.07,1.25,,,,,,,
-3.89,1.24,,,,,,,
-3.71,1.23,,,,,,,
