Puller Meas. (neg) (mm),Carriage Meas. (mm),Num Rollers Pulled,Measurement after rollers pulled (mm),Puller Indicator After Move (neg) (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm),Exclude Cable Pull Greater Than (mm),Note
,0,,,,,61.8,,,
,-0.02,,,,,,,,
,-0.03,,,,,,,,
,-0.02,,,,,,,,
,-0.03,,,,,,,,
,-0.01,,,,,,,,
,0.02,,,,,,,,
,0.02,,,,,,,,
,0.08,,,,,,,,
,0.11,,,,,,,,
,0.19,,,,,,,,
,0.36,,,,,,,,
,0.62,,,,,,,,
,0.99,,,,,,,,
,1.38,,,,,,,,
,1.8,,,,,,,,
,2.25,,,,,,,,
,2.67,,,,,,,,
,3.06,,,,,,,,
,3.41,,,,,,,,
,3.85,,,,,,,,
,4.29,,,,,,,,
,4.73,,,,,,,,
,5.17,1,5.22,,,,,,
,5.56,,,,,,,,
,6.01,,,,,,,,
,6.38,,,,,,,,
,6.76,,,,,,,,
,7.26,,,,,,,,
,7.63,,,,,,,,
,8.05,,,,,,,,
,8.46,,,,,,,,
,8.96,,,,,,,,
,9.38,1,9.42,,,,,,
,9.81,,,,,,,,
,10.33,,,,,,,,
,10.59,,,,,,,,
,11.02,,,,,,,,
,11.43,,,,,,,,
,11.87,,,,,,,,
,12.33,,,,,,,,
,12.74,,,,,,,,
,13.14,1,13.22,,,,,,
,13.64,,,,,,,,
,14.12,,,,,,,,
,14.62,,,,,,,,
,15.04,,,,,,,,
,15.41,,,,,,,,
,15.83,,,,,,,,
,16.26,,,,,,,,
,16.75,,,,,,,,
,17.22,1,17.28,,,,,,
,17.65,,,,,,,,
,18.12,,,,,,,,
,18.57,,,,,,,,
,18.99,,,,,,,,
,19.4,,,,,,,,
,19.93,,,,,,,,
,20.3,,,,,,,,
,20.72,1,20.82,,,,,,
,21.15,,,,,,,,
,21.59,,,,,,,,
,22.14,,,,,,,,
,22.57,,,,,,,,
,23.01,,,,0.88,,,,
,1.36,,,,,,,,
,1.78,,,,,,,,
,2.19,,,,,,,,
,2.68,,,,,,,,
,3.13,1,3.24,,,,,,
,3.59,,,,,,,,
,4.09,,,,,,,,
,4.51,,,,,,,,
,4.9,,,,,,,,
,5.32,,,,,,,,
,5.79,,,,,,,,
,6.25,,,,,,,,
,6.59,,,,,,,,
,7.03,2,7.14,,,,,,
,7.52,,,,,,,,
,8.01,,,,,,,,
,8.46,,,,,,,,
,8.86,,,,,,,,
,9.41,,,,,,,,
,9.73,,,,,,,,
,10.14,,,,,,,,
,10.67,,,,,,,,
,11.13,2,11.18,,,,,,
,11.55,,,,,,,,
,12,,,,,,,,
,12.41,,,,,,,,
,13.06,,,,,,,,
,13.39,,,,,,,,
,13.85,,,,,,,,
,14.47,,,,,,,,
,14.84,,,,,,,,
,15.24,,,,,,,,
,15.47,,,,,,,,
,15.91,2,16.05,,,,,,
,16.11,,,,,,,,
,16.14,,,,,,,,
,16.16,,,,,,,,
,16.17,,,,,,,,
