Puller Meas. (neg) (mm),Carriage Meas. (mm),Num Rollers Relaxed,Measurement after rollers relaxed (mm),Puller Indicator After Move (neg) (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm),Exclude Cable Pull Greater Than (mm),Note
,15.72,,,,,61.59,,,
,15.71,,,,,,,,
,15.69,,,,,,,,
,15.64,,,,,,,,
,15.61,,,,,,,,
,15.52,,,,,,,,
,15.23,,,,,,,,
,14.77,,,,,,,,
,14.17,,,,,,,,
,13.45,,,,,,,,
,12.9,,,,,,,,
,12.46,,,,,,,,
,12.02,,,,,,,,
,11.54,,,,,,,,
,10.94,,,,,,,,
,10.43,,,,,,,,
,10,2,9.95,,,,,,
,9.57,,,,,,,,
,9.12,,,,,,,,
,8.65,,,,,,,,
,8.17,,,,,,,,
,7.68,,,,,,,,
,7.25,,,,,,,,
,6.82,,,,,,,,
,6.42,2,6.38,,,,,,
,6.01,,,,,,,,
,5.48,,,,,,,,
,5,,,,,,,,
,4.51,,,,,,,,
,4.12,,,,,,,,
,3.7,,,,,,,,
,3.25,,,,,,,,
,2.79,,,,,,,,
,2.3,2,2.23,,,,,,
,1.86,,,,,,,,
,1.43,,,,,,,,
,1.05,,,,,,,,
,0.68,,,,,,,,
,0.19,,,,22.73,,,,
,22.25,,,,,,,,
,21.77,,,,,,,,
,21.32,,,,,,,,
,20.91,,,,,,,,
,20.44,1,20.41,,,,,,
,20,,,,,,,,
,19.52,,,,,,,,
,19.08,,,,,,,,
,18.66,,,,,,,,
,18.19,,,,,,,,
,17.75,,,,,,,,
,17.28,,,,,,,,
,16.79,1,16.68,,,,,,
,16.4,,,,,,,,
,15.93,,,,,,,,
,15.51,,,,,,,,
,15.15,,,,,,,,
,14.65,,,,,,,,
,14.17,,,,,,,,
,13.73,,,,,,,,
,13.3,,,,,,,,
,12.88,1,12.82,,,,,,
,12.41,,,,,,,,
,11.98,,,,,,,,
,11.54,,,,,,,,
,11.11,,,,,,,,
,10.63,,,,,,,,
,10.21,,,,,,,,
,9.81,,,,,,,,
,9.38,,,,,,,,
,8.92,1,8.88,,,,,,
,8.55,,,,,,,,
,8.22,,,,,,,,
,7.79,,,,,,,,
,7.33,,,,,,,,
,6.93,,,,,,,,
,6.46,,,,,,,,
,6.07,,,,,,,,
,5.7,,,,,,,,
,5.28,,,,,,,,
,4.88,1,4.85,,,,,,
,4.52,,,,,,,,
,4.03,,,,,,,,
,3.6,,,,,,,,
,3.26,,,,,,,,
,2.9,,,,,,,,
,2.51,,,,,,,,
,2.12,,,,,,,,
,1.8,,,,,,,,
,1.43,1,1.25,,,,,,
,1,,,,,,,,
,0.6,,,,,,,,
,0.21,,,,,,,,
,0.1,,,,,,,,
,0.05,,,,,,,,
,0.02,,,,,,,,
,0.01,,,,,,,,
,-0.01,,,,,,,,
,-0.01,,,,,,,,
,-0.02,,,,,,,,
