Puller Meas. (neg) (mm),Carriage Meas. (mm),Num Rollers Pulled,Measurement after rollers pulled (mm),Puller Indicator After Move (neg) (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm),Exclude Cable Pull Greater Than (mm),Note
,0.08,,,,,72.7,112.38,,
,0.05,,,,,,,,
,0.03,,,,,,,,
,0.01,,,,,,,,
,-0.01,,,,,,,,
,0.06,,,,,,,,
,0.27,,,,,,,,
,0.49,,,,,,,,
,0.78,,,,,,,,
,1.09,,,,,,,,
,1.4,,,,,,,,
,1.69,,,,,,,,
,1.99,,,,,,,,
,2.32,,,,,,,,
,2.66,,,,,,,,
,3.07,,,,,,,,
,3.45,,,,,,,,
,3.76,,,,,,,,
,4.09,1,4.08,,,,,,
,4.37,,,,,,,,
,4.76,,,,,,,,
,5.2,,,,,,,,
,5.51,,,,,,,,
,5.8,,,,,,,,
,6.12,,,,,,,,
,6.52,1,6.57,,,,,,
,6.95,,,,,,,,
,7.34,,,,,,,,
,7.68,,,,,,,,
,8.01,,,,,,,,
,8.33,,,,,,,,
,8.65,,,,,,,,
,9.01,,,,,,,,
,9.44,,,,,,,,
,9.76,,,,,,,,
,10.06,,,,,,,,
,10.43,1,10.4,,,,,,
,10.7,,,,,,,,
,11.04,,,,,,,,
,11.47,,,,,,,,
,11.79,,,,,,,,
,12.17,,,,,,,,
,12.47,,,,,,,,
,12.83,,,,,,,,
,13.18,,,,,,,,
,13.63,,,,,,,,
,13.97,,,,,,,,
,14.29,1,14.38,,,,,,
,14.64,,,,,,,,
,15.09,,,,,,,,
,15.49,,,,,,,,
,15.92,,,,,,,,
,16.21,,,,,,,,
,16.55,,,,,,,,
,16.95,,,,,,,,
,17.28,,,,,,,,
,17.66,,,,,,,,
,18.13,1,18.12,,,,,,
,18.42,,,,,,,,
,18.85,,,,,,,,
,19.17,,,,,,,,
,19.53,,,,,,,,
,19.93,,,,,,,,
,20.32,,,,,,,,
,20.72,,,,,,,,
,21.02,,,,,,,,
,21.32,,,,,,,,
,21.66,,,,,,,,
,22.1,2,22.16,,,,,,
,22.49,,,,,,,,
,22.9,,,,,,,,
,23.16,,,,,,,,
,23.52,,,,,,,,
,23.81,,,,-0.21,,,,
,0.32,,,,,,,,
,0.76,,,,,,,,
,1.11,,,,,,,,
,1.46,2,1.59,,,,,,
,1.83,,,,,,,,
,2.3,,,,,,,,
,2.71,,,,,,,,
,3.04,,,,,,,,
,3.39,,,,,,,,
,3.71,,,,,,,,
,3.97,,,,,,,,
,4.35,,,,,,,,
,4.81,,,,,,,,
,5.18,2,5.19,,,,,,
,5.49,,,,,,,,
,5.82,,,,,,,,
,6.23,,,,,,,,
,6.39,,,,,,,,
,6.8,,,,,,,,
,7.22,,,,,,,,
,7.63,,,,,,,,
,7.9,,,,,,,,
,8.25,,,,,,,,
,8.72,,,,,,,,
,8.97,2,9.01,,,,,,
,9.35,,,,,,,,
,9.78,,,,,,,,
,10.01,,,,,,,,
,10.48,,,,,,,,
,10.89,,,,,,,,
,11.08,,,,,,,,
,11.61,,,,,,,,
,11.91,,,,,,,,
,12.19,,,,,,,,
,12.61,,,,,,,,
,12.9,3,12.73,,,,,,
,12.92,,,,,,,,
,13.35,,,,,,,,
,13.67,,,,,,,,
,13.92,,,,,,,,
,14.3,,,,,,,,
,14.62,,,,,,,,
,15.08,,,,,,,,
,15.41,,,,,,,,
,15.62,,,,,,,,
,15.75,,,,,,,,
,15.84,,,,,,,,
,15.93,,,,,,,,
,15.99,,,,,,,,
,16.13,,,,,,,,
,16,,,,,,,,
