Puller Meas. (neg) (mm),Carriage Meas. (mm),Num Rollers Relaxed,Measurement after rollers relaxed (mm),Puller Indicator After Move (neg) (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm),Exclude Cable Pull Greater Than (mm),Note
,17.29,,,,,70.49,113.05,,"For this run, I had backed out the limit screws all the way"
,17.25,,,,,,,,
,17.22,,,,,,,,
,17.19,,,,,,,,
,17.14,,,,,,,,
,17.09,,,,,,,,
,17.04,,,,,,,,
,16.94,,,,,,,,
,16.69,,,,,,,,
,16.4,,,,,,,,
,16.06,,,,,,,,
,15.7,,,,,,,,
,15.3,,,,,,,,
,14.88,,,,,,,,
,14.36,,,,,,,,
,13.91,,,,,,,,
,13.5,,,,,,,,
,13.09,,,,,,,,
,12.63,,,,,,,,
,12.4,,,,,,,,
,11.97,,,,,,,,
,11.59,,,,,,,,
,11.28,,,,,,,,
,10.85,,,,,,,,
,10.4,,,,,,,,
,9.99,,,,,,,,
,9.71,3,9.9,,,,,,
,9.57,,,,,,,,
,9.24,,,,,,,,
,8.79,,,,,,,,
,8.49,,,,,,,,
,8.12,,,,,,,,
,7.76,,,,,,,,
,7.33,,,,,,,,
,6.91,,,,,,,,
,6.56,,,,,,,,
,6.25,,,,,,,,
,5.87,2,5.98,,,,,,
,5.68,,,,,,,,
,5.32,,,,,,,,
,4.95,,,,,,,,
,4.55,,,,,,,,
,4.18,,,,,,,,
,3.87,,,,,,,,
,3.5,,,,,,,,
,3.11,,,,,,,,
,2.7,,,,,,,,
,2.36,2,2.26,,,,,,
,2.04,,,,,,,,
,1.69,,,,,,,,
,1.31,,,,,,,,
,0.93,,,,,,,,
,0.54,,,,,,,,
,0.25,,,,,,,,
,-0.14,,,,24.54,,,,
,24.13,,,,,,,,
,23.69,,,,,,,,
,23.34,2,23.3,,,,,,
,23.01,,,,,,,,
,22.64,,,,,,,,
,22.29,,,,,,,,
,21.96,,,,,,,,
,21.54,,,,,,,,
,21.16,,,,,,,,
,20.81,,,,,,,,
,20.46,,,,,,,,
,20.11,,,,,,,,
,19.74,,,,,,,,
,19.35,2,19.26,,,,,,
,18.93,,,,,,,,
,18.57,,,,,,,,
,18.21,,,,,,,,
,17.84,,,,,,,,
,17.52,,,,,,,,
,17.13,,,,,,,,
,16.72,,,,,,,,
,16.32,,,,,,,,
,16.01,,,,,,,,
,15.64,1,15.56,,,,,,
,15.28,,,,,,,,
,14.89,,,,,,,,
,14.52,,,,,,,,
,14.14,,,,,,,,
,13.76,,,,,,,,
,13.43,,,,,,,,
,13.1,,,,,,,,
,12.68,,,,,,,,
,12.27,,,,,,,,
,11.9,1,11.82,,,,,,
,11.54,,,,,,,,
,11.15,,,,,,,,
,10.79,,,,,,,,
,10.41,,,,,,,,
,10.04,,,,,,,,
,9.69,,,,,,,,
,9.34,,,,,,,,
,9.03,,,,,,,,
,8.65,,,,,,,,
,8.23,,,,,,,,
,7.88,1,7.8,,,,,,
,7.49,,,,,,,,
,7.14,,,,,,,,
,6.75,,,,,,,,
,6.45,,,,,,,,
,6.02,,,,,,,,
,5.65,,,,,,,,
,5.3,,,,,,,,
,4.97,,,,,,,,
,4.62,,,,,,,,
,4.25,,,,,,,,
,3.88,1,3.92,,,,,,
,3.62,,,,,,,,
,3.24,,,,,,,,
,2.93,,,,,,,,
,2.58,,,,,,,,
,2.23,,,,,,,,
,1.89,,,,,,,,
,1.51,,,,,,,,
,1.17,,,,,,,,
,0.82,,,,,,,,
,0.47,,,,,,,,
,0.13,,,,,,,,
,-0.22,,,,,,,,
,-0.41,,,,,,,,
,-0.46,,,,,,,,
,-0.53,,,,,,,,
,-0.56,,,,,,,,
