Puller Meas. (neg) (mm),Carriage Meas. (mm),Num Rollers Pulled,Measurement after rollers pulled (mm),Puller Indicator After Move (neg) (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm)
,0.02,,,,,64.43,111.81
,0,,,,,,
,0,,,,,,
,0,,,,,,
,0.03,,,,,,
,0.12,,,,,,
,0.23,,,,,,
,0.35,,,,,,
,0.57,,,,,,
,1.11,,,,,,
,1.31,,,,,,
,1.7,,,,,,
,2,,,,,,
,2.37,,,,,,
,2.73,,,,,,
,3.19,,,,,,
,3.63,,,,,,
,4,,,,,,
,4.38,,,,,,
,4.79,,,,,,
,5.18,,,,,,
,5.65,,,,,,
,6.16,,,,,,
,6.66,,,,,,
,7.01,,,,,,
,7.37,,,,,,
,7.86,,,,,,
,8.32,,,,,,
,8.78,,,,,,
,9.3,,,,,,
,9.71,,,,,,
,10.18,,,,,,
,10.6,,,,,,
,11.12,1,11.14,,,,
,11.55,,,,,,
,12.04,,,,,,
,12.44,,,,,,
,12.95,,,,,,
,13.38,,,,,,
,13.91,,,,,,
,14.34,,,,,,
,14.89,,,,,,
,15.34,,,,,,
,15.8,,,,,,
,16.26,,,,,,
,16.81,,,,,,
,17.36,,,,,,
,17.77,,,,,,
,18.27,,,,,,
,18.76,1,18.78,,,,
,19.18,,,,,,
,19.8,,,,,,
,20.23,,,,,,
,20.79,,,,,,
,21.23,,,,,,
,21.7,,,,,,
,22.19,1,22.25,,,,
,22.7,,,,,,
,23.17,,,,-1.67,,
,-1.06,,,,,,
,-0.58,,,,,,
,-0.1,,,,,,
,0.36,,,,,,
,0.96,,,,,,
,1.47,1,1.54,,,,
,2.05,,,,,,
,2.5,,,,,,
,3,,,,,,
,3.51,,,,,,
,3.97,,,,,,
,4.47,,,,,,
,5.02,1,5.02,,,,
,5.46,,,,,,
,5.91,,,,,,
,6.41,,,,,,
,7,,,,,,
,7.5,,,,,,
,7.98,,,,,,
,8.51,1,8.54,,,,
,8.97,,,,,,
,9.5,,,,,,
,9.96,,,,,,
,10.52,,,,,,
,10.98,,,,,,
,11.44,,,,,,
,11.86,,,,,,
,12.34,1,12.27,,,,
,12.77,,,,,,
,13.26,,,,,,
,13.78,,,,,,
,14.19,,,,,,
,14.62,,,,,,
,15.08,,,,,,
,15.5,,,,,,
,16.04,2,16.12,,,,
,16.34,,,,,,
,16.84,,,,,,
,17.24,,,,,,
,17.59,,,,,,
,18.11,,,,,,
,18.59,,,,,,
,19.01,,,,,,
,19.47,,,,,,
,19.91,,,,,,
,20.27,,,,,,
,20.63,,,,,,
,21.05,,,,,,
,21.38,,,,,,
,21.67,,,,,,
,21.9,,,,,,
,22.13,,,,,,
,22.34,,,,,,
,22.49,,,,,,
,22.6,,,,,,
