Puller Meas. (neg) (mm),Carriage Meas. (mm),Num Rollers Relaxed,Measurement after rollers relaxed (mm),Puller Indicator After Move (neg) (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm)
,22.62,,,,,66.45,111.88
,22.61,,,,,,
,22.49,,,,,,
,22.35,,,,,,
,22.12,,,,,,
,21.83,,,,,,
,21.55,,,,,,
,21.2,,,,,,
,20.69,,,,,,
,20.36,,,,,,
,19.99,,,,,,
,19.53,,,,,,
,19.08,,,,,,
,18.58,,,,,,
,18.1,,,,,,
,17.49,,,,,,
,17.06,,,,,,
,16.61,,,,,,
,16.15,,,,,,
,15.65,,,,,,
,15.12,,,,,,
,14.61,,,,,,
,14.11,,,,,,
,13.7,,,,,,
,13.26,,,,,,
,12.77,,,,,,
,12.28,,,,,,
,11.82,2,11.8,,,,
,11.37,,,,,,
,10.93,,,,,,
,10.51,,,,,,
,10.06,,,,,,
,9.58,,,,,,
,9.06,,,,,,
,8.56,,,,,,
,8.05,1,8.14,,,,
,7.71,,,,,,
,7.18,,,,,,
,6.65,,,,,,
,6.16,,,,,,
,5.64,,,,,,
,5.13,,,,,,
,4.66,1,4.68,,,,
,4.14,,,,,,
,3.59,,,,,,
,3.13,,,,,,
,2.62,,,,,,
,2.13,,,,,,
,1.66,,,,,,
,1.16,,,,,,
,0.63,1,0.62,,,,
,0.13,,,,,,
,-0.35,,,,22.68,,
,22.26,,,,,,
,21.78,,,,,,
,21.27,,,,,,
,20.75,,,,,,
,20.23,1,20.2,,,,
,19.8,,,,,,
,19.29,,,,,,
,18.83,,,,,,
,18.33,,,,,,
,17.81,,,,,,
,17.34,,,,,,
,16.86,,,,,,
,16.4,1,16.37,,,,
,15.94,,,,,,
,15.43,,,,,,
,14.92,,,,,,
,14.43,,,,,,
,13.98,,,,,,
,13.51,,,,,,
,13.05,,,,,,
,12.45,1,12.42,,,,
,11.99,,,,,,
,11.53,,,,,,
,11.02,,,,,,
,10.6,,,,,,
,10.12,,,,,,
,9.65,,,,,,
,9.18,,,,,,
,8.65,,,,,,
,8.23,,,,,,
,7.76,,,,,,
,7.3,,,,,,
,6.82,,,,,,
,6.35,,,,,,
,5.91,,,,,,
,5.46,,,,,,
,5.02,,,,,,
,4.6,1,4.56,,,,
,4.14,,,,,,
,3.67,,,,,,
,3.24,,,,,,
,2.88,,,,,,
,2.42,,,,,,
,2.02,,,,,,
,1.6,,,,,,
,1.12,,,,,,
,0.79,,,,,,
,0.43,,,,,,
,0.09,,,,,,
,-0.27,,,,,,
,-0.58,,,,,,
,-0.96,,,,,,
,-1.32,,,,,,
,-1.52,,,,,,
,-1.63,,,,,,
,-1.75,,,,,,
,-1.8,,,,,,
,-1.82,,,,,,
,-1.83,,,,,,
,-1.82,,,,,,
