Puller Meas. (mm),Carriage Meas. (mm),Num rollers relaxed,Measurement after rollers relaxed (mm),Puller Indicator After Move (neg) (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm)
0.00,0.00,,,,,,
-0.01,0.02,,,,,,
-0.06,0.03,,,,,,
-0.37,0.17,,,,,,
-0.64,0.22,,,,,,
-0.97,0.56,,,,,,
-1.28,0.84,,,,,,
-1.62,1.15,,,,,,
-1.97,1.44,,,,,,
-2.28,1.80,,,,,,
-2.60,2.12,,,,,,
-2.92,2.39,,,,,,
-3.27,2.70,,,,,,
-3.62,3.12,,,,,,
-3.95,3.42,,,,,,
-4.27,3.76,,,,,,
-4.59,4.08,,,,,,
-4.92,4.45,,,,,,
-5.27,4.82,,,,,,
-5.61,5.14,,,,,,
-5.95,5.49,,,,,,
-6.26,5.83,,,,,,
-6.57,6.14,,,,,,
-6.92,6.52,,,,,,
-7.25,6.88,,,,,,
-7.61,7.30,1,7.31,,,,
-7.95,7.57,,,,,,
-8.27,7.93,,,,,,
-8.59,8.31,,,,,,
-8.90,8.61,,,,,,
-9.26,8.94,,,,,,
-9.61,9.31,,,,,,
-9.94,9.65,,,,,,
-10.26,9.98,,,,,,
-10.57,10.32,,,,,,
-10.92,10.71,,,,,,
-11.25,11.03,,,,,,
-11.61,11.42,,,,,,
-11.94,11.78,1,11.80,,,,
-12.27,12.17,,,,,,
-12.57,12.51,,,,,,
-12.90,12.87,,,,,,
-13.26,13.21,,,,,,
-13.61,13.54,,,,,,
-13.96,13.88,,,,,,
-14.27,14.26,,,,,,
-14.58,14.56,,,,,,
-14.91,14.87,,,,,,
-15.26,15.33,,,,,,
-15.61,15.71,,,,,,
-15.95,16.09,1,16.10,,,,
-16.26,16.43,,,,,,
-16.57,16.75,,,,,,
-16.92,17.12,,,,,,
-17.26,17.50,,,,,,
-17.63,17.87,,,,,,
-17.96,18.23,,,,,,
-18.27,18.60,,,,,,
-18.58,18.90,,,,,,
-18.91,19.26,,,,,,
-19.28,19.70,,,,,,
-19.62,20.11,,,,,,
-19.95,20.42,1,20.42,,,,
-20.27,20.74,,,,,,
-20.59,21.12,,,,,,
-20.92,21.47,,,,,,
-21.27,21.87,,,,,,
-21.63,22.19,,,-1.13,4.01,,
-1.42,4.21,1,4.21,,,,
-1.74,4.55,,,,,,
-2.06,4.88,,,,,,
-2.38,5.25,,,,,,
-2.73,5.62,,,,,,
-3.09,6.02,,,,,,
-3.42,6.37,,,,,,
-3.73,6.72,,,,,,
-4.06,7.14,,,,,,
-4.40,7.53,,,,,,
-4.74,7.85,,,,,,
-5.09,8.24,,,,,,
-5.43,8.63,1,8.63,,,,
-5.75,8.95,,,,,,
-6.06,9.28,,,,,,
-6.41,9.65,,,,,,
-6.74,10.01,,,,,,
-7.11,10.38,,,,,,
-7.45,10.75,,,,,,
-7.76,11.09,,,,,,
-8.07,11.39,,,,,,
-8.40,11.74,,,,,,
-8.74,12.12,,,,,,
-9.10,12.51,,,,,,
-9.45,12.85,,,,,,
-9.77,13.23,2,13.19,,,,
-10.08,13.44,,,,,,
-10.41,13.84,,,,,,
-10.75,14.20,,,,,,
-11.12,14.54,,,,,,
-11.45,14.83,,,,,,
-11.77,15.21,,,,,,
-12.09,15.57,,,,,,
-12.41,15.85,,,,,,
-12.76,16.25,,,,,,
-13.12,16.61,,,,,,
-13.46,16.98,,,,,,
-13.78,17.33,,,,,,
-14.09,17.65,2,17.62,,,,
-14.42,17.89,,,,,,
-14.76,18.25,,,,,,
-15.12,18.61,,,,,,
-15.46,19.00,,,,,,
-15.77,19.22,,,,,,
-16.09,19.61,,,,,,
-16.41,19.95,,,,,,
-16.76,20.26,,,,,,
-17.12,20.66,,,,,,
-17.46,20.93,,,,,,
-17.77,21.28,,,,,,
-18.09,21.64,,,,,,
-18.41,22.00,2,21.97,,,,
-18.74,22.20,,,,,,
-19.10,22.52,,,,,,
-19.45,23.02,,,,,,
-19.76,23.33,,,,,,
-20.06,23.51,,,,,,
-20.35,23.54,,,,,,
-20.65,23.58,,,,,,
-20.97,23.61,,,,,,
-21.27,23.61,,,,,,
-21.57,23.63,,,,,,
,,,,,,105.62,63.79
