Puller Meas. (mm),Carriage Meas. (mm),Num rollers pulled,Measurement after rollers pulled (mm),Puller Indicator After Move (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm),Exclude Cable Pull Greater Than (mm)
0,0.01,,,,,64.04,105.79,
-0.28,-0.07,,,,,,,
-0.44,-0.07,,,,,,,
-0.51,-0.08,,,,,,,
-0.8,-0.12,,,,,,,
-1.1,0.02,,,,,,,
-1.41,0.16,,,,,,,
-1.73,0.37,,,,,,,
-2.06,0.66,,,,,,,
-2.4,0.99,,,,,,,
-2.71,1.29,,,,,,,
-3.04,1.61,,,,,,,
-3.35,1.94,,,,,,,
-3.7,2.29,,,,,,,
-4.05,2.61,,,,,,,
-4.38,2.91,,,,,,,
-4.69,3.23,,,,,,,
-5.01,3.54,,,,,,,
-5.36,3.95,,,,,,,
-5.69,4.26,,,,,,,
-6.03,4.58,,,,,,,
-6.37,4.97,,,,,,,
-6.69,5.33,,,,,,,
-7.01,5.65,,,,,,,
-7.32,5.92,,,,,,,
-7.67,6.26,,,,,,,
-8.03,6.68,,,,,,,
-8.37,7.05,1,7.06,,,,,
-8.68,7.36,,,,,,,
-9,7.69,,,,,,,
-9.33,8.03,,,,,,,
-9.67,8.45,,,,,,,
-10.02,8.79,,,,,,,
-10.35,9.12,,,,,,,
-10.68,9.49,,,,,,,
-10.99,9.83,,,,,,,
-11.33,10.23,,,,,,,
-11.67,10.56,,,,,,,
-12.03,10.94,,,,,,,
-12.37,11.3,1,11.33,,,,,
-12.69,11.6,,,,,,,
-13.01,11.94,,,,,,,
-13.33,12.29,,,,,,,
-13.67,12.65,,,,,,,
-14.03,13.04,,,,,,,
-14.38,13.44,,,,,,,
-14.69,13.78,,,,,,,
-15,14.11,,,,,,,
-15.32,14.46,,,,,,,
-15.68,14.85,,,,,,,
-16.03,15.21,,,,,,,
-16.37,15.58,,,,,,,
-16.68,15.92,1,15.93,,,,,
-16.99,16.23,,,,,,,
-17.34,16.63,,,,,,,
-17.68,16.99,,,,,,,
-18.04,17.4,,,,,,,
-18.38,17.74,,,,,,,
-18.7,18.08,,,,,,,
-19.01,18.39,,,,,,,
-19.34,18.78,,,,,,,
-19.69,19.17,,,,,,,
-20.04,19.51,,,,,,,
-20.38,19.91,,,,,,,
-20.68,20.23,1,20.22,,,,,
-20.99,20.52,,,,,,,
-21.35,20.92,,,,,,,
-21.69,21.29,,,,,,,
-22.04,21.68,,,,,,,
-22.37,22,,,,,,,
-22.7,22.35,,,1.54,-0.48,,,
1.35,-0.26,,,,,,,
1.02,0.06,,,,,,,
0.65,0.5,1,0.54,,,,,
0.31,0.86,,,,,,,
-0.02,1.23,,,,,,,
-0.36,1.58,,,,,,,
-0.67,1.96,,,,,,,
-1,2.3,,,,,,,
-1.34,2.68,,,,,,,
-1.71,3.02,,,,,,,
-2.04,3.42,,,,,,,
-2.36,3.8,,,,,,,
-2.67,4.13,,,,,,,
-3.01,4.48,,,,,,,
-3.34,4.86,1,4.86,,,,,
-3.71,5.24,,,,,,,
-4.05,5.56,,,,,,,
-4.36,5.89,,,,,,,
-4.67,6.21,,,,,,,
-5,6.58,,,,,,,
-5.37,6.96,,,,,,,
-5.72,7.31,,,,,,,
-6.07,7.72,,,,,,,
-6.38,8.06,,,,,,,
-6.7,8.39,,,,,,,
-7.02,8.74,,,,,,,
-7.37,9.08,2,9.06,,,,,
-7.72,9.37,,,,,,,
-8.07,9.74,,,,,,,
-8.39,10.13,,,,,,,
-8.69,10.41,,,,,,,
-9.02,10.73,,,,,,,
-9.37,11.11,,,,,,,
-9.72,11.47,,,,,,,
-10.07,11.86,,,,,,,
-10.38,12.15,,,,,,,
-10.71,12.52,,,,,,,
-11.03,12.8,,,,,,,
-11.37,13.21,2,13.17,,,,,
-11.73,13.48,,,,,,,
-12.07,13.85,,,,,,,
-12.37,14.16,,,,,,,
-12.7,14.49,,,,,,,
-13.03,14.82,,,,,,,
-13.37,15.16,,,,,,,
-13.73,15.53,,,,,,,
-14.07,15.86,,,,,,,
-14.38,16.21,,,,,,,
-14.7,16.54,,,,,,,
-15.03,16.89,,,,,,,
-15.36,17.2,,,,,,,
-15.71,17.54,,,,,,,
-16.07,17.97,2,17.92,,,,,
-16.36,18.16,,,,,,,
-16.69,18.51,,,,,,,
-17,18.75,,,,,,,
-17.31,18.81,,,,,,,
-17.62,18.85,,,,,,,
-17.91,18.86,,,,,,,
