Puller Meas. (mm),Carriage Meas. (mm),Num rollers pulled,Measurement after rollers pulled (mm),Puller Indicator After Move (neg) (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm),Exclude Cable Pull Greater Than (mm)
0.00,0.01,,,,,,,
-0.41,-0.05,,,,,,,
-1.01,0.17,,,,,,,
-1.66,0.59,,,,,,,
-2.30,1.16,,,,,,,
-2.95,1.81,,,,,,,
-3.63,2.44,,,,,,,
-4.29,3.13,,,,,,,
-4.95,3.75,,,,,,,
-5.64,4.48,,,,,,,
-6.28,5.11,,,,,,,
-6.93,5.76,,,,,,,
-7.62,6.60,,,,,,,
-8.30,7.31,1,7.33,,,,,
-8.94,7.96,,,,,,,
-9.64,8.69,,,,,,,
-10.29,9.40,,,,,,,
-10.93,10.04,,,,,,,
-11.65,10.87,,,,,,,
-12.31,11.58,1,11.59,,,,,
-12.93,12.22,,,,,,,
-13.65,12.95,,,,,,,
-14.30,13.66,,,,,,,
-14.94,14.35,,,,,,,
-15.66,15.17,,,,,,,
-16.29,15.84,1,15.85,,,,,
-16.94,16.54,,,,,,,
-17.66,17.31,,,,,,,
-18.30,17.96,,,,,,,
-18.97,18.71,,,,,,,
-19.66,19.45,,,,,,,
-20.32,20.18,1,20.17,,,,,
-20.96,20.87,,,,,,,
-21.67,21.60,,,,,,,
-22.31,22.28,,,-0.30,0.17,,,
-0.93,0.86,,,,,,,
-1.63,1.63,1,1.61,,,,,
-2.29,2.30,,,,,,,
-2.94,2.98,,,,,,,
-3.65,3.75,,,,,,,
-4.31,4.52,,,,,,,
-4.94,5.15,,,,,,,
-5.66,5.99,1,6.01,,,,,
-6.32,6.66,,,,,,,
-6.95,7.34,,,,,,,
-7.67,8.09,,,,,,,
-8.33,8.78,,,,,,,
-8.96,9.49,,,,,,,
-9.68,10.24,2,10.17,,,,,
-10.33,10.87,,,,,,,
-10.98,11.46,,,,,,,
-11.68,12.21,,,,,,,
-12.33,12.88,,,,,,,
-12.98,13.57,,,,,,,
-13.69,14.30,2,14.26,,,,,
-14.32,14.87,,,,,,,
-14.99,15.59,,,,,,,
-15.68,16.24,,,,,,,
-16.32,16.93,,,,,,,
-16.97,17.60,,,,,,,
-17.67,18.32,2,18.27,,,,,
-18.31,18.89,,,,,,,
-18.96,19.59,,,,,,,
-19.57,19.69,,,,,,,
-20.16,19.74,,,,,,,
-20.77,19.72,,,,,,,
-21.51,19.70,,,,,,,
,,,,,,64,105.7,
