Puller Meas. (neg) (mm),Carriage Meas. (mm),Num Rollers Relaxed,Measurement after rollers relaxed (mm),Puller Indicator After Move (neg) (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm)
,22.31,,,,,64.04,108.47
,22.36,,,,,,
,22.24,,,,,,
,22.01,,,,,,
,21.89,,,,,,
,21.7,,,,,,
,21.56,,,,,,
,21.34,,,,,,
,21.21,,,,,,
,20.91,,,,,,
,20.47,,,,,,
,20.02,,,,,,
,19.54,,,,,,
,19.22,,,,,,
,18.88,,,,,,
,18.6,,,,,,
,18.21,,,,,,
,17.77,,,,,,
,17.2,,,,,,
,16.67,,,,,,
,16.32,,,,,,
,15.97,,,,,,
,15.65,,,,,,
,15.3,,,,,,
,14.92,,,,,,
,14.49,,,,,,
,14.2,,,,,,
,13.83,,,,,,
,13.49,,,,,,
,13.1,,,,,,
,12.72,,,,,,
,12.31,,,,,,
,11.91,,,,,,
,11.64,,,,,,
,11.27,3,11.26,,,,
,10.91,,,,,,
,10.46,,,,,,
,10.05,,,,,,
,9.76,,,,,,
,9.41,,,,,,
,9.08,,,,,,
,8.59,,,,,,
,8.26,,,,,,
,7.9,,,,,,
,7.5,,,,,,
,7.22,,,,,,
,6.84,2,6.8,,,,
,6.47,,,,,,
,6.04,,,,,,
,5.69,,,,,,
,5.32,,,,,,
,4.92,,,,,,
,4.56,,,,,,
,4.14,,,,,,
,3.76,,,,,,
,3.39,,,,,,
,3.02,,,,,,
,2.69,2,2.74,,,,
,2.42,,,,,,
,2.05,,,,,,
,1.62,,,,,,
,1.2,,,,,,
,0.86,,,,,,
,0.5,,,,,,
,0.14,,,,23.58,,
,23.15,,,,,,
,22.66,,,,,,
,22.3,,,,,,
,21.9,2,21.95,,,,
,21.63,,,,,,
,21.24,,,,,,
,20.79,,,,,,
,20.37,,,,,,
,20,,,,,,
,19.63,,,,,,
,19.33,,,,,,
,18.95,,,,,,
,18.51,,,,,,
,18.12,,,,,,
,17.71,1,17.74,,,,
,17.34,,,,,,
,16.97,,,,,,
,16.62,,,,,,
,16.25,,,,,,
,15.85,,,,,,
,15.53,,,,,,
,15.17,,,,,,
,14.77,,,,,,
,14.41,,,,,,
,14,,,,,,
,13.57,1,13.68,,,,
,13.34,,,,,,
,13.02,,,,,,
,12.64,,,,,,
,12.23,,,,,,
,11.81,,,,,,
,11.38,,,,,,
,11.04,,,,,,
,10.7,,,,,,
,10.36,,,,,,
,9.96,,,,,,
,9.7,,,,,,
,9.24,1,9.21,,,,
,8.85,,,,,,
,8.54,,,,,,
,8.18,,,,,,
,7.79,,,,,,
,7.41,,,,,,
,7.02,,,,,,
,6.67,,,,,,
,6.47,,,,,,
,6.05,,,,,,
,5.71,,,,,,
,5.36,1,5.3,,,,
,4.98,,,,,,
,4.63,,,,,,
,4.31,,,,,,
,3.95,,,,,,
,3.53,,,,,,
,3.37,,,,,,
,3.01,,,,,,
,2.64,,,,,,
,2.35,,,,,,
,2,,,,,,
,1.71,,,,,,
,1.47,,,,,,
,1.37,,,,,,
,1.31,,,,,,
,1.27,,,,,,
,1.26,,,,,,
,1.23,,,,,,
,1.12,,,,,,
,1.1,,,,,,
,1.08,,,,,,
