Puller Meas. (neg) (mm),Carriage Meas. (mm),Num Rollers Pulled,Measurement after rollers pulled (mm),Puller Indicator After Move (neg) (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm)
,0,,,,,64.05,108.46
,0.11,,,,,,
,0.09,,,,,,
,0.11,,,,,,
,0.18,,,,,,
,0.19,,,,,,
,0.34,,,,,,
,0.38,,,,,,
,0.48,,,,,,
,0.78,,,,,,
,1.13,,,,,,
,1.46,,,,,,
,1.8,,,,,,
,2.14,,,,,,
,2.48,,,,,,
,2.73,,,,,,
,3.06,,,,,,
,3.39,,,,,,
,3.74,,,,,,
,4.08,,,,,,
,4.36,,,,,,
,4.78,,,,,,
,5.14,,,,,,
,5.59,,,,,,
,5.84,,,,,,
,6.21,,,,,,
,6.56,,,,,,
,6.94,,,,,,
,7.3,,,,,,
,7.61,,,,,,
,7.96,,,,,,
,8.32,,,,,,
,8.81,1,8.84,,,,
,9.01,,,,,,
,9.38,,,,,,
,9.81,,,,,,
,10.2,,,,,,
,10.6,,,,,,
,10.89,,,,,,
,11.3,,,,,,
,11.7,,,,,,
,12.1,,,,,,
,12.38,1,12.45,,,,
,12.62,,,,,,
,13.05,,,,,,
,13.51,,,,,,
,13.81,,,,,,
,14.19,,,,,,
,14.47,,,,,,
,14.89,,,,,,
,15.29,,,,,,
,15.67,,,,,,
,16.08,,,,,,
,16.42,,,,,,
,16.75,,,,,,
,17.17,1,17.14,,,,
,17.52,,,,,,
,17.9,,,,,,
,18.27,,,,,,
,18.65,,,,,,
,18.99,,,,,,
,19.39,,,,,,
,19.77,,,,,,
,20.17,,,,,,
,20.57,,,,,,
,20.93,2,20.86,,,,
,21.16,,,,,,
,21.55,,,,,,
,21.95,,,,0,,
,0.41,,,,,,
,0.87,,,,,,
,1.22,,,,,,
,1.55,,,,,,
,1.99,,,,,,
,2.29,,,,,,
,2.75,,,,,,
,3.13,2,3.13,,,,
,3.42,,,,,,
,3.82,,,,,,
,4.16,,,,,,
,4.58,,,,,,
,4.98,,,,,,
,5.34,,,,,,
,5.72,,,,,,
,6.05,,,,,,
,6.44,,,,,,
,6.85,,,,,,
,7.23,,,,,,
,7.53,2,7.53,,,,
,7.84,,,,,,
,8.22,,,,,,
,8.57,,,,,,
,9.01,,,,,,
,9.37,,,,,,
,9.72,,,,,,
,10.12,,,,,,
,10.49,,,,,,
,10.82,,,,,,
,11.21,,,,,,
,11.6,,,,,,
,11.93,2,11.92,,,,
,12.2,,,,,,
,12.56,,,,,,
,12.95,,,,,,
,13.3,,,,,,
,13.67,,,,,,
,14.02,,,,,,
,14.38,,,,,,
,14.73,,,,,,
,15.32,,,,,,
,15.76,,,,,,
,16.17,,,,,,
,16.53,3,16.51,,,,
,16.79,,,,,,
,17.3,,,,,,
,17.69,,,,,,
,18.23,,,,,,
,18.47,,,,,,
,19.12,,,,,,
,19.44,,,,,,
,19.9,,,,,,
,20.21,,,,,,
,20.45,,,,,,
,21.08,,,,,,
,21.6,,,,,,
,21.81,,,,,,
,22.14,,,,,,
,22.34,,,,,,
,22.55,,,,,,
,22.68,,,,,,
,22.78,,,,,,
,22.9,,,,,,
,22.94,,,,,,
,22.99,,,,,,
,23,,,,,,
