Puller Meas. (neg) (mm),Carriage Meas. (mm),Num Rollers Relaxed,Measurement after rollers relaxed (mm),Puller Indicator After Move (neg) (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm)
,25.12,,,,,63.16,108.91
,25.11,,,,,,
,25.08,,,,,,
,25.03,,,,,,
,24.87,,,,,,
,24.69,,,,,,
,24.42,,,,,,
,24.11,,,,,,
,23.82,,,,,,
,23.5,,,,,,
,23.13,,,,,,
,22.73,,,,,,
,22.4,,,,,,
,22.04,,,,,,
,21.66,,,,,,
,21.29,,,,,,
,20.91,,,,,,
,20.52,,,,,,
,20.08,,,,,,
,19.67,,,,,,
,19.39,,,,,,
,19.03,,,,,,
,18.64,,,,,,
,18.2,,,,,,
,17.9,,,,,,
,17.52,,,,,,
,17.23,3,17.43,,,,
,17.24,,,,,,
,16.88,,,,,,
,16.39,,,,,,
,16.05,,,,,,
,15.74,,,,,,
,15.38,,,,,,
,15.02,,,,,,
,14.66,,,,,,
,14.28,,,,,,
,14.01,,,,,,
,13.62,2,13.73,,,,
,13.37,,,,,,
,13.05,,,,,,
,12.77,,,,,,
,12.31,,,,,,
,11.96,,,,,,
,11.59,,,,,,
,11.27,,,,,,
,10.92,,,,,,
,10.55,,,,,,
,10.15,2,10.25,,,,
,9.93,,,,,,
,9.52,,,,,,
,9.2,,,,,,
,8.92,,,,,,
,8.5,,,,,,
,8.14,,,,,,
,7.74,,,,,,
,7.38,,,,,,
,7.05,,,,,,
,6.7,,,,,,
,6.32,,,,,,
,5.9,2,5.92,,,,
,5.63,,,,,,
,5.25,,,,,,
,4.93,,,,,,
,4.61,,,,,,
,4.25,,,,,,
,3.85,,,,,,
,3.47,,,,,,
,3.1,,,,,,
,2.72,,,,,,
,2.38,1,2.38,,,,
,2.06,,,,,,
,1.65,,,,,,
,1.3,,,,,,
,0.96,,,,,,
,0.58,,,,,,
,0.23,,,,,,
,-0.17,,,,25.05,,
,24.61,,,,,,
,24.26,,,,,,
,23.87,,,,,,
,23.53,1,23.53,,,,
,23.19,,,,,,
,22.8,,,,,,
,22.39,,,,,,
,22.04,,,,,,
,21.68,,,,,,
,21.3,,,,,,
,20.93,,,,,,
,20.53,,,,,,
,20.18,1,20.11,,,,
,19.8,,,,,,
,19.47,,,,,,
,19.19,,,,,,
,18.76,,,,,,
,18.37,,,,,,
,18,,,,,,
,17.62,,,,,,
,17.28,,,,,,
,16.93,,,,,,
,16.58,,,,,,
,16.18,1,16.16,,,,
,15.81,,,,,,
,15.47,,,,,,
,15.13,,,,,,
,14.81,,,,,,
,14.55,,,,,,
,14.12,,,,,,
,13.76,,,,,,
,13.41,,,,,,
,13.04,,,,,,
,12.73,,,,,,
,12.41,,,,,,
,12.04,1,12,,,,
,11.76,,,,,,
,11.43,,,,,,
,11.07,,,,,,
,10.76,,,,,,
,10.46,,,,,,
,10.08,,,,,,
,9.73,,,,,,
,9.42,,,,,,
,9.15,1,9.08,,,,
,8.78,,,,,,
,8.49,,,,,,
,8.23,,,,,,
,7.91,,,,,,
,7.63,,,,,,
,7.37,,,,,,
,7.07,,,,,,
,6.72,,,,,,
,6.38,,,,,,
,6.11,,,,,,
,5.81,,,,,,
,5.57,,,,,,
,5.25,,,,,,
,5.05,,,,,,
,4.79,,,,,,
,4.57,,,,,,
,4.4,,,,,,
,4.13,,,,,,
,4.03,,,,,,
,4.02,,,,,,
,4,,,,,,
,3.99,,,,,,
,3.99,,,,,,
,3.98,,,,,,
