Puller Meas. (neg) (mm),Carriage Meas. (mm),Num Rollers Pulled,Measurement after rollers pulled (mm),Puller Indicator After Move (neg) (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm)
,0,,,,,62.81,108.7
,0.02,,,,,,
,0.04,,,,,,
,0.04,,,,,,
,0.03,,,,,,
,0.06,,,,,,
,0.06,,,,,,
,0.06,,,,,,
,0.07,,,,,,
,0.07,,,,,,
,0.13,,,,,,
,0.27,,,,,,
,0.53,,,,,,
,0.77,,,,,,
,1.02,,,,,,
,1.36,,,,,,
,1.6,,,,,,
,1.84,,,,,,
,2.13,,,,,,
,2.35,,,,,,
,2.67,,,,,,
,3.01,,,,,,
,3.29,,,,,,
,3.62,,,,,,
,3.87,,,,,,
,4.19,,,,,,
,4.5,,,,,,
,4.81,,,,,,
,5.11,,,,,,
,5.42,,,,,,
,5.7,,,,,,
,6.04,,,,,,
,6.34,,,,,,
,6.69,,,,,,
,7.01,,,,,,
,7.35,,,,,,
,7.7,,,,,,
,8.05,,,,,,
,8.41,1,8.47,,,,
,8.81,,,,,,
,9.12,,,,,,
,9.44,,,,,,
,9.75,,,,,,
,10.14,,,,,,
,10.49,,,,,,
,10.82,,,,,,
,11.22,,,,,,
,11.55,,,,,,
,11.89,,,,,,
,12.22,1,12.25,,,,
,12.6,,,,,,
,12.96,,,,,,
,13.3,,,,,,
,13.69,,,,,,
,14.03,,,,,,
,14.4,,,,,,
,14.79,,,,,,
,15.16,,,,,,
,15.54,,,,,,
,15.88,,,,,,
,16.21,,,,,,
,16.59,1,16.63,,,,
,16.99,,,,,,
,17.39,,,,,,
,17.71,,,,,,
,18.04,,,,,,
,18.44,,,,,,
,18.86,,,,,,
,19.18,,,,,,
,19.56,,,,,,
,19.96,,,,,,
,20.34,,,,,,
,20.63,1,20.69,,,,
,21.01,,,,,,
,21.4,,,,,,
,21.78,,,,,,
,22.18,,,,,,
,22.49,,,,,,
,22.87,,,,,,
,23.23,,,,,,
,23.62,1,23.63,,,,
,23.96,,,,,,
,24.35,,,,0.87,,
,1.23,,,,,,
,1.61,,,,,,
,1.99,,,,,,
,2.35,,,,,,
,2.72,,,,,,
,3.1,,,,,,
,3.51,,,,,,
,3.88,1,3.87,,,,
,4.18,,,,,,
,4.62,,,,,,
,4.94,,,,,,
,5.33,,,,,,
,5.7,,,,,,
,6.03,,,,,,
,6.42,,,,,,
,6.81,,,,,,
,7.18,,,,,,
,7.52,,,,,,
,7.9,,,,,,
,8.22,,,,,,
,8.57,2,8.54,,,,
,8.87,,,,,,
,9.23,,,,,,
,9.61,,,,,,
,9.94,,,,,,
,10.34,,,,,,
,10.72,,,,,,
,11.05,,,,,,
,11.41,2,11.39,,,,
,11.66,,,,,,
,12.04,,,,,,
,12.35,,,,,,
,12.76,,,,,,
,13.13,,,,,,
,13.5,,,,,,
,13.85,,,,,,
,14.18,,,,,,
,14.52,,,,,,
,14.86,,,,,,
,15.23,2,15.19,,,,
,15.47,,,,,,
,15.78,,,,,,
,16.18,,,,,,
,16.51,,,,,,
,16.84,,,,,,
,17.22,,,,,,
,17.61,,,,,,
,17.96,,,,,,
,18.29,,,,,,
,18.71,,,,,,
,19.1,3,18.91,,,,
,19.26,,,,,,
,19.56,,,,,,
,19.82,,,,,,
,20.27,,,,,,
,20.57,,,,,,
,20.9,,,,,,
,21.26,,,,,,
,21.48,,,,,,
,21.71,,,,,,
,21.93,,,,,,
,22.17,,,,,,
,22.37,,,,,,
,22.5,,,,,,
,22.62,,,,,,
,22.69,,,,,,
