Puller Meas. (mm),Carriage Meas. (mm),Num rollers pulled,Measurement after rollers pulled (mm),Puller Indicator After Move (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm),Exclude Cable Pull Greater Than (mm)
0.00,0.01,,,,,,,
-0.09,0.02,,,,,,,
-0.14,0.04,,,,,,,
-0.38,0.29,,,,,,,
-0.70,0.63,,,,,,,
-1.01,0.95,,,,,,,
-1.36,1.31,,,,,,,
-1.70,1.65,,,,,,,
-2.04,2.02,,,,,,,
-2.36,2.31,,,,,,,
-2.67,2.62,,,,,,,
-3.00,2.96,,,,,,,
-3.34,3.34,,,,,,,
-3.69,3.70,1,3.71,,,,,
-4.02,4.04,,,,,,,
-4.34,4.39,,,,,,,
-4.66,4.74,,,,,,,
-4.98,5.04,,,,,,,
-5.33,5.41,,,,,,,
-5.68,5.78,,,,,,,
-6.02,6.13,,,,,,,
-6.33,6.44,,,,,,,
-6.65,6.79,,,,,,,
-6.98,7.15,,,,,,,
-7.31,7.49,1,7.49,,,,,
-7.68,7.87,,,,,,,
-8.02,8.23,,,,,,,
-8.34,8.59,,,,,,,
-8.64,8.92,,,,,,,
-8.98,9.28,,,,,,,
-9.33,9.66,,,,,,,
-9.68,10.06,,,,,,,
-10.01,10.40,,,,,,,
-10.33,10.77,,,,,,,
-10.64,11.06,1,11.10,,,,,
-10.98,11.48,,,,,,,
-11.33,11.84,,,,,,,
-11.67,12.22,,,,,,,
-12.02,12.59,,,,,,,
-12.33,12.92,,,,,,,
-12.64,13.25,,,,,,,
-12.97,13.62,,,,,,,
-13.32,14.00,,,,,,,
-13.67,14.33,,,,,,,
-14.01,14.72,1,14.73,,,,,
-14.33,15.06,,,,,,,
-14.63,15.40,,,,,,,
-14.97,15.78,,,,,,,
-15.32,16.16,,,,,,,
-15.68,16.55,,,,,,,
-16.01,16.92,,,,,,,
-16.34,17.26,,,,,,,
-16.64,17.58,,,,,,,
-16.98,17.96,,,,,,,
-17.33,18.30,1,18.31,,,,,
-17.67,18.68,,,,,,,
-18.01,19.04,,,,,,,
-18.35,19.40,,,,,,,
-18.64,19.72,,,,,,,
-18.97,20.10,,,,,,,
-19.32,20.48,,,,,,,
-19.69,20.88,,,,,,,
-20.03,21.22,,,,,,,
-20.34,21.57,,,,,,,
-20.66,21.92,1,21.90,,,,,
-20.97,22.20,,,-0.20,-0.84,,,
-0.53,-0.44,,,,,,,
-0.89,-0.04,,,,,,,
-1.25,0.33,,,,,,,
-1.56,0.66,,,,,,,
-1.87,1.05,,,,,,,
-2.20,1.35,,,,,,,
-2.54,1.73,,,,,,,
-2.92,2.16,,,,,,,
-3.25,2.49,2,2.51,,,,,
-3.57,2.85,,,,,,,
-3.89,3.23,,,,,,,
-4.21,3.56,,,,,,,
-4.56,3.90,,,,,,,
-4.91,4.29,,,,,,,
-5.27,4.68,,,,,,,
-5.58,5.00,,,,,,,
-5.88,5.33,,,,,,,
-6.22,5.70,,,,,,,
-6.57,6.05,,,,,,,
-6.93,6.43,2,6.44,,,,,
-7.26,6.81,,,,,,,
-7.60,7.17,,,,,,,
-7.90,7.51,,,,,,,
-8.23,7.81,,,,,,,
-8.58,8.18,,,,,,,
-8.95,8.56,,,,,,,
-9.29,8.91,,,,,,,
-9.60,9.28,,,,,,,
-9.91,9.60,,,,,,,
-10.24,9.93,,,,,,,
-10.59,10.28,3,10.37,,,,,
-10.94,10.71,,,,,,,
-11.29,11.09,,,,,,,
-11.62,11.46,,,,,,,
-11.92,11.78,,,,,,,
-12.26,12.11,,,,,,,
-12.59,12.44,,,,,,,
-12.96,12.84,,,,,,,
-13.29,13.20,,,,,,,
-13.62,13.57,,,,,,,
-13.93,13.83,,,,,,,
-14.26,14.13,3,14.23,,,,,
-14.59,14.53,,,,,,,
-14.95,14.93,,,,,,,
-15.29,15.27,,,,,,,
-15.61,15.64,,,,,,,
-15.92,15.99,,,,,,,
-16.26,16.34,,,,,,,
-16.58,16.66,,,,,,,
-16.94,17.11,,,,,,,
-17.28,17.40,,,,,,,
-17.60,17.69,,,,,,,
-17.91,18.17,3,18.27,,,,,
-18.24,18.49,,,,,,,
-18.58,18.95,,,,,,,
-18.93,19.34,,,,,,,
-19.27,19.72,,,,,,,
-19.59,20.00,,,,,,,
-19.90,20.36,,,,,,,
-20.21,20.71,,,,,,,
-20.54,20.99,,,,,,,
-20.88,21.39,,,,,,,
-21.22,21.70,,,,,,,
-21.51,21.98,,,,,,,
-21.79,22.05,,,,,,,
-22.07,22.07,,,,,,,
-22.36,22.09,,,,,,,
-22.66,22.11,,,,,,,
-22.97,22.06,,,,,68.45,113.45,
