Puller Meas. (mm),Carriage Meas. (mm),Num rollers relaxed,Measurement after rollers relaxed (mm),Puller Indicator After Move (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm),Exclude Cable Pull Greater Than (mm)
-23.85,23.29,,,,,,,
-23.27,23.26,,,,,,,
-22.63,22.71,,,,,,,
-22.00,22.01,,,,,,,
-21.34,21.25,,,,,,,
-20.63,20.45,,,,,,,
-20.01,19.74,3,19.68,,,,,
-19.32,18.94,,,,,,,
-18.62,18.16,,,,,,,
-17.99,17.55,,,,,,,
-17.33,16.86,,,,,,,
-16.63,16.11,3,16.00,,,,,
-15.99,15.24,,,,,,,
-15.32,14.60,,,,,,,
-14.61,13.79,,,,,,,
-13.97,13.15,,,,,,,
-13.30,12.50,,,,,,,
-12.60,11.76,3,11.67,,,,,
-11.94,10.96,,,,,,,
-11.29,10.27,,,,,,,
-10.59,9.52,,,,,,,
-9.95,8.87,,,,,,,
-9.29,8.18,,,,,,,
-8.58,7.38,2,7.38,,,,,
-7.94,6.71,,,,,,,
-7.26,6.06,,,,,,,
-6.57,5.21,,,,,,,
-5.92,4.53,,,,,,,
-5.26,3.84,,,,,,,
-4.55,3.09,2,3.07,,,,,
-3.91,2.38,,,,,,,
-3.24,1.68,,,,,,,
-2.53,0.92,,,,,,,
-1.90,0.21,,,-24.03,23.88,,,
-23.36,23.13,1,23.13,,,,,
-22.66,22.35,,,,,,,
-22.02,21.64,,,,,,,
-21.35,20.92,,,,,,,
-20.66,20.17,,,,,,,
-20.00,19.43,1,19.42,,,,,
-19.34,18.73,,,,,,,
-18.65,17.98,,,,,,,
-18.00,17.27,,,,,,,
-17.35,16.55,,,,,,,
-16.64,15.77,1,15.77,,,,,
-16.00,15.10,,,,,,,
-15.33,14.40,,,,,,,
-14.64,13.66,,,,,,,
-13.99,12.94,,,,,,,
-13.33,12.20,1,12.19,,,,,
-12.64,11.45,,,,,,,
-11.99,10.79,,,,,,,
-11.32,10.07,,,,,,,
-10.65,9.35,,,,,,,
-9.99,8.64,,,,,,,
-9.32,7.97,1,7.97,,,,,
-8.65,7.31,,,,,,,
-7.99,6.60,,,,,,,
-7.32,5.90,,,,,,,
-6.67,5.26,,,,,,,
-6.00,4.57,,,,,,,
-5.32,3.89,1,3.90,,,,,
-4.67,3.29,,,,,,,
-4.00,2.60,,,,,,,
-3.32,1.96,,,,,,,
-2.68,1.32,,,,,,,
-2.02,0.73,,,,,,,
-1.35,0.15,,,,,,,
-0.71,-0.43,,,,,,,
-0.06,-0.96,,,,,,,
0.24,-1.17,,,,,,,
0.61,-1.41,,,,,65.28,113.47,
