Puller Meas. (neg) (mm),Carriage Meas. (mm),Num Rollers Pulled,Measurement after rollers pulled (mm),Puller Indicator After Move (neg) (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm),Exclude Cable Pull Greater Than (mm)
,0,,,,,63.81,109.48,29
,-0.05,,,,,,,
,-0.03,,,,,,,
,0.02,,,,,,,
,0.16,,,,,,,
,0.46,,,,,,,
,0.62,,,,,,,
,0.83,,,,,,,
,1.05,,,,,,,
,1.3,,,,,,,
,1.65,,,,,,,
,2.05,,,,,,,
,2.39,,,,,,,
,2.76,,,,,,,
,3.14,,,,,,,
,3.53,,,,,,,
,3.93,,,,,,,
,4.35,,,,,,,
,4.74,,,,,,,
,5.15,,,,,,,
,5.51,,,,,,,
,5.95,,,,,,,
,6.32,,,,,,,
,6.8,,,,,,,
,7.22,,,,,,,
,7.61,,,,,,,
,8.07,1,8.15,,,,,
,8.61,,,,,,,
,8.99,,,,,,,
,9.44,,,,,,,
,9.93,,,,,,,
,10.37,,,,,,,
,10.78,,,,,,,
,11.23,,,,,,,
,11.75,,,,,,,
,12.1,1,12.18,,,,,
,12.69,,,,,,,
,13.17,,,,,,,
,13.59,,,,,,,
,14.04,,,,,,,
,14.51,,,,,,,
,14.95,,,,,,,
,15.42,,,,,,,
,15.91,1,15.98,,,,,
,16.43,,,,,,,
,16.87,,,,,,,
,17.33,,,,,,,
,17.83,,,,,,,
,18.3,,,,,,,
,18.78,,,,,,,
,19.25,,,,,,,
,19.69,,,,,,,
,20.22,1,20.41,,,,,
,20.88,,,,,,,
,21.42,,,,,,,
,21.9,,,,,,,
,22.33,,,,,,,
,22.85,,,,,,,
,23.37,,,,,,,
,23.86,1,23.91,,,,,
,24.33,,,,,,,
,24.82,,,,,,,
,25.15,,,,0.82,,,
,1.29,,,,,,,
,1.86,,,,,,,
,2.31,,,,,,,
,2.8,,,,,,,
,3.25,,,,,,,
,3.69,1,3.75,,,,,
,4.18,,,,,,,
,4.68,,,,,,,
,5.29,,,,,,,
,5.7,,,,,,,
,6.16,,,,,,,
,6.63,,,,,,,
,7.09,,,,,,,
,7.5,2,7.68,,,,,
,8.11,,,,,,,
,8.54,,,,,,,
,9.01,,,,,,,
,9.5,,,,,,,
,9.97,,,,,,,
,10.38,,,,,,,
,10.94,,,,,,,
,11.41,2,11.53,,,,,
,11.82,,,,,,,
,12.3,,,,,,,
,12.87,,,,,,,
,13.26,,,,,,,
,13.82,,,,,,,
,14.23,,,,,,,
,14.76,,,,,,,
,15.1,,,,,,,
,15.62,2,15.67,,,,,
,16.13,,,,,,,
,16.49,,,,,,,
,16.68,,,,,,,
,16.86,,,,,,,
,17.18,,,,,,,
,17.5,,,,,,,
,17.95,,,,,,,
,18.46,,,,,,,
,18.94,,,,,,,
,19.54,,,,,,,
,20.16,,,,,,,
,20.66,,,,,,,
,20.93,,,,,,,
,21,,,,,,,
,21.01,,,,,,,
,21.07,,,,,,,
