Puller Meas. (neg) (mm),Carriage Meas. (mm),Num Rollers Relaxed,Measurement after rollers relaxed (mm),Puller Indicator After Move (neg) (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm),Exclude Cable Pull Greater Than (mm)
,21.08,,,,,63.86,109.29,29
,21.05,,,,,,,
,21.01,,,,,,,
,20.94,,,,,,,
,20.86,,,,,,,
,20.75,,,,,,,
,20.54,,,,,,,
,20.21,,,,,,,
,19.73,,,,,,,
,19.12,,,,,,,
,18.32,,,,,,,
,17.72,,,,,,,
,17.33,,,,,,,
,17.03,,,,,,,
,16.63,,,,,,,
,16.19,,,,,,,
,15.67,,,,,,,
,15.3,,,,,,,
,14.77,,,,,,,
,14.34,,,,,,,
,13.85,,,,,,,
,13.34,,,,,,,
,12.89,,,,,,,
,12.42,,,,,,,
,11.9,,,,,,,
,11.51,,,,,,,
,11,2,10.92,,,,,
,10.48,,,,,,,
,9.99,,,,,,,
,9.54,,,,,,,
,9.04,,,,,,,
,8.54,,,,,,,
,8.09,,,,,,,
,7.62,,,,,,,
,7.11,,,,,,,
,6.68,2,6.64,,,,,
,6.17,,,,,,,
,5.7,,,,,,,
,5.28,,,,,,,
,4.82,,,,,,,
,4.28,,,,,,,
,3.75,,,,,,,
,3.3,,,,,,,
,2.85,2,2.79,,,,,
,2.26,,,,,,,
,1.78,,,,,,,
,1.29,,,,,,,
,0.82,,,,,,,
,0.29,,,,25.11,,,
,24.59,,,,,,,
,24.15,1,24.12,,,,,
,23.62,,,,,,,
,23.12,,,,,,,
,22.59,,,,,,,
,22.07,,,,,,,
,21.63,,,,,,,
,21.07,,,,,,,
,20.56,,,,,,,
,20.07,1,20.03,,,,,
,19.48,,,,,,,
,19.04,,,,,,,
,18.56,,,,,,,
,18.04,,,,,,,
,17.53,,,,,,,
,17.05,,,,,,,
,16.56,,,,,,,
,16.03,1,15.95,,,,,
,15.51,,,,,,,
,15.05,,,,,,,
,14.52,,,,,,,
,14.04,,,,,,,
,13.6,,,,,,,
,13.07,,,,,,,
,12.62,,,,,,,
,12.08,1,12.03,,,,,
,11.6,,,,,,,
,11.1,,,,,,,
,10.63,,,,,,,
,10.19,,,,,,,
,9.73,,,,,,,
,9.25,,,,,,,
,8.78,,,,,,,
,8.35,,,,,,,
,7.9,1,7.85,,,,,
,7.46,,,,,,,
,7.01,,,,,,,
,6.61,,,,,,,
,6.09,,,,,,,
,5.77,,,,,,,
,5.38,,,,,,,
,4.9,,,,,,,
,4.57,1,4.37,,,,,
,3.91,,,,,,,
,3.57,,,,,,,
,3.16,,,,,,,
,2.76,,,,,,,
,2.36,,,,,,,
,1.98,,,,,,,
,1.57,,,,,,,
,1.26,,,,,,,
,1.13,,,,,,,
,0.98,,,,,,,
,0.8,,,,,,,
,0.59,,,,,,,
,0.55,,,,,,,
,0.48,,,,,,,
,0.34,,,,,,,
,0.29,,,,,,,
