Puller Meas. (neg) (mm),Carriage Meas. (mm),Num Rollers Pulled,Measurement after rollers pulled (mm),Puller Indicator After Move (neg) (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm),Exclude Cable Pull Greater Than (mm),Note
,0.01,,,,,67.24,103.87,,
,0,,,,,,,,
,-0.01,,,,,,,,
,-0.04,,,,,,,,
,-0.07,,,,,,,,
,-0.06,,,,,,,,
,-0.04,,,,,,,,
,0.09,,,,,,,,
,0.29,,,,,,,,
,0.61,,,,,,,,
,1.14,,,,,,,,
,1.63,,,,,,,,
,2.16,,,,,,,,
,2.66,,,,,,,,
,3.21,,,,,,,,
,3.85,,,,,,,,
,4.46,1,4.58,,,,,,
,5.07,,,,,,,,
,5.71,,,,,,,,
,6.22,,,,,,,,
,6.83,,,,,,,,
,7.34,,,,,,,,
,8.05,,,,,,,,
,8.64,,,,,,,,
,9.2,,,,,,,,
,9.73,,,,,,,,
,10.32,,,,,,,,
,11.01,,,,,,,,
,11.68,,,,,,,,
,12.18,1,12.34,,,,,,
,12.76,,,,,,,,
,13.34,,,,,,,,
,13.95,,,,,,,,
,14.49,,,,,,,,
,15.2,,,,,,,,
,15.81,,,,,,,,
,16.46,1,16.51,,,,,,
,16.86,,,,,,,,
,17.45,,,,,,,,
,18.05,,,,,,,,
,18.69,,,,,,,,
,19.25,,,,,,,,
,19.76,,,,,,,,
,20.35,1,20.43,,,,,,
,20.81,,,,,,,,
,21.49,,,,,,,,
,22.09,,,,,,,,
,22.7,,,,-0.94,,,,
,-0.44,,,,,,,,
,0.06,,,,,,,,
,0.63,1,0.74,,,,,,
,1.22,,,,,,,,
,1.84,,,,,,,,
,2.35,,,,,,,,
,2.83,,,,,,,,
,3.34,,,,,,,,
,3.81,,,,,,,,
,4.3,1,4.5,,,,,,
,4.94,,,,,,,,
,5.41,,,,,,,,
,5.85,,,,,,,,
,6.31,,,,,,,,
,6.76,,,,,,,,
,7.25,,,,,,,,
,7.78,,,,,,,,
,8.22,,,,,,,,
,8.64,1,8.76,,,,,,
,9.09,,,,,,,,
,9.44,,,,,,,,
,9.95,,,,,,,,
,10.42,,,,,,,,
,10.87,,,,,,,,
,11.21,,,,,,,,
,11.63,,,,,,,,
,12.03,,,,,,,,
,12.47,,,,,,,,
,12.73,2,12.72,,,,,,
,12.79,,,,,,,,
,12.9,,,,,,,,
,12.92,,,,,,,,
,12.95,,,,,,,,
,13.02,,,,,,,,
,13.06,,,,,,,,
