Puller Meas. (neg) (mm),Carriage Meas. (mm),Num Rollers Pulled,Measurement after rollers pulled (mm),Puller Indicator After Move (neg) (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm),Exclude Cable Pull Greater Than (mm),Note
,13.07,,,,,67.38,103.74,,
,12.88,,,,,,,,
,12.89,,,,,,,,
,12.79,,,,,,,,
,12.69,,,,,,,,
,12.49,,,,,,,,
,12.31,,,,,,,,
,12.01,,,,,,,,
,11.66,,,,,,,,
,11.26,,,,,,,,
,10.82,,,,,,,,
,10.46,,,,,,,,
,9.99,,,,,,,,
,9.43,,,,,,,,
,8.96,,,,,,,,
,8.52,2,8.65,,,,,,
,8.3,,,,,,,,
,7.88,,,,,,,,
,7.42,,,,,,,,
,6.9,,,,,,,,
,6.42,,,,,,,,
,5.99,,,,,,,,
,5.48,,,,,,,,
,5.05,,,,,,,,
,4.48,1,4.47,,,,,,
,4,,,,,,,,
,3.52,,,,,,,,
,3.01,,,,,,,,
,2.49,,,,,,,,
,2.04,,,,,,,,
,1.48,,,,,,,,
,0.91,,,,,,,,
,0.39,1,0.3,,,,,,
,-0.13,,,,23.69,,,,
,23.13,,,,,,,,
,22.59,,,,,,,,
,22,,,,,,,,
,21.37,,,,,,,,
,20.83,,,,,,,,
,20.25,1,20.22,,,,,,
,19.75,,,,,,,,
,19.23,,,,,,,,
,18.6,,,,,,,,
,17.95,,,,,,,,
,17.39,,,,,,,,
,16.84,,,,,,,,
,16.31,1,16.25,,,,,,
,15.74,,,,,,,,
,15.1,,,,,,,,
,14.4,,,,,,,,
,13.82,,,,,,,,
,13.23,,,,,,,,
,12.73,,,,,,,,
,12.13,1,12,,,,,,
,11.48,,,,,,,,
,10.81,,,,,,,,
,10.17,,,,,,,,
,9.68,,,,,,,,
,9.07,,,,,,,,
,8.52,,,,,,,,
,7.86,,,,,,,,
,7.19,,,,,,,,
,6.61,,,,,,,,
,6,,,,,,,,
,5.43,,,,,,,,
,4.86,,,,,,,,
,4.23,1,4.19,,,,,,
,3.61,,,,,,,,
,3.03,,,,,,,,
,2.43,,,,,,,,
,1.92,,,,,,,,
,1.36,,,,,,,,
,0.79,,,,,,,,
,0.39,,,,,,,,
,0.24,,,,,,,,
,0.2,,,,,,,,
,0.19,,,,,,,,
,0.2,,,,,,,,
,0.24,,,,,,,,
,0.25,,,,,,,,
,0.25,,,,,,,,
,0.25,,,,,,,,
