Puller Meas. (neg) (mm),Carriage Meas. (mm),Num Rollers Pulled,Measurement after rollers pulled (mm),Puller Indicator After Move (neg) (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm),Exclude Cable Pull Greater Than (mm),Note
,0.01,,,,,64.15,106.21,,
,-0.02,,,,,,,,
,0.01,,,,,,,,
,0.03,,,,,,,,
,0.31,,,,,,,,
,0.44,,,,,,,,
,0.7,,,,,,,,
,1.05,,,,,,,,
,1.5,,,,,,,,
,2.32,,,,,,,,
,2.94,,,,,,,,
,3.46,,,,,,,,
,3.98,,,,,,,,
,4.56,,,,,,,,
,5.17,,,,,,,,
,5.72,,,,,,,,
,6.26,,,,,,,,
,6.84,,,,,,,,
,7.29,,,,,,,,
,7.86,,,,,,,,
,8.51,,,,,,,,
,9.14,,,,,,,,
,9.78,,,,,,,,
,10.32,,,,,,,,
,10.89,,,,,,,,
,11.52,,,,,,,,
,12.13,,,,,,,,
,12.78,1,12.77,,,,,,
,13.26,,,,,,,,
,13.82,,,,,,,,
,14.35,,,,,,,,
,15.04,,,,,,,,
,15.61,,,,,,,,
,16.23,,,,,,,,
,16.86,,,,,,,,
,17.41,,,,,,,,
,18.03,,,,,,,,
,18.6,,,,,,,,
,19.11,,,,,,,,
,19.75,,,,,,,,
,20.36,,,,,,,,
,20.95,,,,,,,,
,21.48,1,21.5,,,,,,
,21.97,,,,,,,,
,22.65,,,,,,,,
,23.26,,,,1.24,,,,
,1.81,,,,,,,,
,2.42,,,,,,,,
,2.95,,,,,,,,
,3.51,1,3.52,,,,,,
,4.01,,,,,,,,
,4.64,,,,,,,,
,5.31,,,,,,,,
,5.79,,,,,,,,
,6.32,,,,,,,,
,6.82,,,,,,,,
,7.28,,,,,,,,
,7.93,1,7.93,,,,,,
,8.33,,,,,,,,
,8.97,,,,,,,,
,9.33,,,,,,,,
,9.83,,,,,,,,
,10.4,,,,,,,,
,10.88,,,,,,,,
,11.27,,,,,,,,
,11.73,,,,,,,,
,12.3,,,,,,,,
,12.75,1,12.71,,,,,,
,13.18,,,,,,,,
,13.6,,,,,,,,
,14.05,,,,,,,,
,14.51,,,,,,,,
,14.95,,,,,,,,
,15.37,,,,,,,,
,15.8,,,,,,,,
,16.19,,,,,,,,
,16.65,2,16.59,,,,,,
,16.89,,,,,,,,
,17.25,,,,,,,,
,17.59,,,,,,,,
,18.04,,,,,,,,
,18.5,,,,,,,,
,18.9,,,,,,,,
,19.24,,,,,,,,
,19.59,,,,,,,,
,19.8,,,,,,,,
,19.91,,,,,,,,
,19.97,,,,,,,,
,20.02,,,,,,,,
,20.06,,,,,,,,
,20.04,,,,,,,,
