Puller Meas. (neg) (mm),Carriage Meas. (mm),Num Rollers Relaxed,Measurement after rollers relaxed (mm),Puller Indicator After Move (neg) (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm),Exclude Cable Pull Greater Than (mm),Note
,20.05,,,,,64.63,106.38,,"""Stylus"" came off the derailleur at the end"
,19.94,,,,,,,,
,19.88,,,,,,,,
,19.83,,,,,,,,
,19.74,,,,,,,,
,19.53,,,,,,,,
,19.23,,,,,,,,
,18.97,,,,,,,,
,18.62,,,,,,,,
,18.27,,,,,,,,
,17.85,,,,,,,,
,17.44,,,,,,,,
,17.08,,,,,,,,
,16.65,,,,,,,,
,16.27,,,,,,,,
,15.87,,,,,,,,
,15.46,,,,,,,,
,15.03,,,,,,,,
,14.62,,,,,,,,
,14.21,,,,,,,,
,13.8,,,,,,,,
,13.4,,,,,,,,
,12.91,,,,,,,,
,12.45,2,12.35,,,,,,
,11.98,,,,,,,,
,11.52,,,,,,,,
,11.09,,,,,,,,
,10.55,,,,,,,,
,9.98,,,,,,,,
,9.47,,,,,,,,
,9.02,,,,,,,,
,8.54,,,,,,,,
,8.07,,,,,,,,
,7.53,1,7.53,,,,,,
,7,,,,,,,,
,6.5,,,,,,,,
,5.95,,,,,,,,
,5.42,,,,,,,,
,4.91,,,,,,,,
,4.35,,,,,,,,
,3.71,,,,,,,,
,3.27,1,3.28,,,,,,
,2.77,,,,,,,,
,2.23,,,,,,,,
,1.7,,,,,,,,
,1.11,,,,,,,,
,0.5,,,,,,,,
,-0.05,,,,24.09,,,,
,23.44,,,,,,,,
,22.88,1,22.74,,,,,,
,22.23,,,,,,,,
,21.57,,,,,,,,
,20.96,,,,,,,,
,20.32,,,,,,,,
,19.9,,,,,,,,
,19.26,,,,,,,,
,18.67,1,18.6,,,,,,
,18.07,,,,,,,,
,17.41,,,,,,,,
,16.84,,,,,,,,
,16.19,,,,,,,,
,15.59,,,,,,,,
,15.03,,,,,,,,
,14.45,,,,,,,,
,13.82,,,,,,,,
,13.25,,,,,,,,
,12.62,,,,,,,,
,12.03,,,,,,,,
,11.46,,,,,,,,
,10.88,,,,,,,,
,10.44,,,,,,,,
,9.9,1,9.94,,,,,,
,9.64,,,,,,,,
,9.22,,,,,,,,
,8.69,,,,,,,,
,8.15,,,,,,,,
,7.58,,,,,,,,
,7.09,,,,,,,,
,6.64,,,,,,,,
,6.18,,,,,,,,
,5.72,,,,,,,,
