Puller Meas. (neg) (mm),Carriage Meas. (mm),Num Rollers Pulled,Measurement after rollers pulled (mm),Puller Indicator After Move (neg) (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm),Exclude Cable Pull Greater Than (mm),Note
,0.11,,,,,64.67,111.54,,
,0.28,,,,,,,,
,0.63,,,,,,,,
,0.93,,,,,,,,
,1.23,,,,,,,,
,1.49,,,,,,,,
,1.84,,,,,,,,
,2.19,,,,,,,,
,2.6,,,,,,,,
,2.98,,,,,,,,
,3.36,,,,,,,,
,3.74,,,,,,,,
,4.11,,,,,,,,
,4.52,,,,,,,,
,5.02,,,,,,,,
,5.38,,,,,,,,
,5.76,,,,,,,,
,6.18,,,,,,,,
,6.58,1,6.65,,,,,,
,7.04,,,,,,,,
,7.47,,,,,,,,
,7.95,,,,,,,,
,8.37,,,,,,,,
,8.78,,,,,,,,
,9.21,,,,,,,,
,9.67,,,,,,,,
,10.16,1,10.19,,,,,,
,10.61,,,,,,,,
,11.08,,,,,,,,
,11.52,,,,,,,,
,11.92,,,,,,,,
,12.45,,,,,,,,
,12.91,,,,,,,,
,13.37,,,,,,,,
,13.82,,,,,,,,
,14.19,1,14.26,,,,,,
,14.61,,,,,,,,
,15.16,,,,,,,,
,15.83,,,,,,,,
,16.32,,,,,,,,
,16.74,,,,,,,,
,17.24,,,,,,,,
,17.72,,,,,,,,
,18.37,1,18.41,,,,,,
,18.86,,,,,,,,
,19.36,,,,,,,,
,19.8,,,,,,,,
,20.27,,,,,,,,
,20.81,,,,,,,,
,21.51,,,,,,,,
,21.94,1,22.02,,,,,,
,22.42,,,,,,,,
,22.92,,,,,,,,
,23.44,,,,,,,,
,24.07,,,,,,,,
,24.53,,,,-0.19,,,,
,0.55,,,,,,,,
,1.03,1,1.09,,,,,,
,1.52,,,,,,,,
,2.08,,,,,,,,
,2.61,,,,,,,,
,3.19,,,,,,,,
,3.73,,,,,,,,
,4.32,,,,,,,,
,4.8,1,4.8,,,,,,
,5.25,,,,,,,,
,5.83,,,,,,,,
,6.24,,,,,,,,
,6.89,,,,,,,,
,7.35,,,,,,,,
,7.89,,,,,,,,
,8.44,1,8.44,,,,,,
,8.88,,,,,,,,
,9.54,,,,,,,,
,10,,,,,,,,
,10.55,,,,,,,,
,10.92,,,,,,,,
,11.55,,,,,,,,
,12.01,1,12.04,,,,,,
,12.41,,,,,,,,
,12.99,,,,,,,,
,13.5,,,,,,,,
,13.95,,,,,,,,
,14.45,,,,,,,,
,14.99,,,,,,,,
,15.4,,,,,,,,
,16.01,1,16.03,,,,,,
,16.45,,,,,,,,
,16.99,,,,,,,,
,17.32,,,,,,,,
,17.81,,,,,,,,
,18.25,,,,,,,,
,18.79,,,,,,,,
,19.17,,,,,,,,
,19.54,,,,,,,,
,19.9,,,,,,,,
,20.34,,,,,,,,
,20.75,,,,,,,,
,21.07,,,,,,,,
,21.31,,,,,,,,
,21.52,,,,,,,,
,21.73,,,,,,,,
,21.91,,,,,,,,
,22.06,,,,,,,,
,22.16,,,,,,,,
,22.18,,,,,,,,
