Puller Meas. (neg) (mm),Carriage Meas. (mm),Num Rollers Relaxed,Measurement after rollers relaxed (mm),Puller Indicator After Move (neg) (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm),Exclude Cable Pull Greater Than (mm),Note
,22.2,,,,,64.74,111.51,,
,22.2,,,,,,,,
,22.14,,,,,,,,
,22.12,,,,,,,,
,22.03,,,,,,,,
,21.85,,,,,,,,
,21.61,,,,,,,,
,21.27,,,,,,,,
,20.83,,,,,,,,
,20.45,,,,,,,,
,20,,,,,,,,
,19.54,,,,,,,,
,19.09,,,,,,,,
,18.62,,,,,,,,
,18.04,,,,,,,,
,17.46,,,,,,,,
,17.01,,,,,,,,
,16.49,,,,,,,,
,16.01,,,,,,,,
,15.43,,,,,,,,
,14.92,,,,,,,,
,14.38,,,,,,,,
,13.9,,,,,,,,
,13.35,,,,,,,,
,12.93,,,,,,,,
,12.44,,,,,,,,
,11.88,2,11.82,,,,,,
,11.38,,,,,,,,
,10.9,,,,,,,,
,10.37,,,,,,,,
,9.88,,,,,,,,
,9.33,,,,,,,,
,8.81,,,,,,,,
,8.32,,,,,,,,
,7.78,,,,,,,,
,7.3,,,,,,,,
,6.79,,,,,,,,
,6.25,,,,,,,,
,5.67,,,,,,,,
,5.17,,,,,,,,
,4.66,,,,,,,,
,4.03,,,,,,,,
,3.63,,,,,,,,
,3.12,,,,,,,,
,2.52,,,,,,,,
,2.02,,,,,,,,
,1.49,,,,,,,,
,0.96,,,,,,,,
,0.43,,,,,,,,
,-0.07,,,,24.62,,,,
,24.06,,,,,,,,
,23.49,,,,,,,,
,23.05,,,,,,,,
,22.55,,,,,,,,
,22.03,,,,,,,,
,21.52,2,21.43,,,,,,
,20.96,,,,,,,,
,20.47,,,,,,,,
,19.96,,,,,,,,
,19.41,,,,,,,,
,18.87,,,,,,,,
,18.35,,,,,,,,
,17.84,1,17.78,,,,,,
,17.32,,,,,,,,
,16.82,,,,,,,,
,16.33,,,,,,,,
,15.85,,,,,,,,
,15.34,,,,,,,,
,14.79,,,,,,,,
,14.31,,,,,,,,
,13.83,1,13.79,,,,,,
,13.36,,,,,,,,
,12.88,,,,,,,,
,12.4,,,,,,,,
,11.95,,,,,,,,
,11.47,,,,,,,,
,10.99,,,,,,,,
,10.53,,,,,,,,
,10.09,1,10.06,,,,,,
,9.62,,,,,,,,
,9.14,,,,,,,,
,8.73,,,,,,,,
,8.27,,,,,,,,
,7.82,,,,,,,,
,7.41,,,,,,,,
,7.04,,,,,,,,
,6.56,1,6.49,,,,,,
,6.1,,,,,,,,
,5.69,,,,,,,,
,5.33,,,,,,,,
,4.95,,,,,,,,
,4.5,,,,,,,,
,4.16,,,,,,,,
,3.78,,,,,,,,
,3.37,,,,,,,,
,3,1,2.95,,,,,,
,2.64,,,,,,,,
,2.26,,,,,,,,
,1.91,,,,,,,,
,1.64,,,,,,,,
,1.32,,,,,,,,
,1.02,,,,,,,,
,0.79,,,,,,,,
,0.49,,,,,,,,
,0.22,,,,,,,,
,0.08,,,,,,,,
,-0.01,,,,,,,,
,-0.07,,,,,,,,
