Puller Meas. (neg) (mm),Carriage Meas. (mm),Num Rollers Pulled,Measurement after rollers pulled (mm),Puller Indicator After Move (neg) (mm),Carriage Indicator After Move (mm),Distance from outside of extrusion to carriage when cable is slack (mm),Distance from outside of extrusion to carriage at max pull (mm),Exclude Cable Pull Greater Than (mm),Note
,13.6,,,,,67.21,104.03,,
,13.5,,,,,,,,
,13.44,,,,,,,,
,13.31,,,,,,,,
,13.19,,,,,,,,
,13,,,,,,,,
,12.67,,,,,,,,
,12.35,,,,,,,,
,11.98,,,,,,,,
,11.59,,,,,,,,
,11.17,,,,,,,,
,10.74,,,,,,,,
,10.25,,,,,,,,
,9.78,,,,,,,,
,9.34,,,,,,,,
,8.96,2,8.91,,,,,,
,8.51,,,,,,,,
,8.08,,,,,,,,
,7.54,,,,,,,,
,7.07,,,,,,,,
,6.6,,,,,,,,
,6.14,,,,,,,,
,5.66,,,,,,,,
,5.15,,,,,,,,
,4.58,1,4.58,,,,,,
,4.1,,,,,,,,
,3.63,,,,,,,,
,3.13,,,,,,,,
,2.67,,,,,,,,
,2.11,,,,,,,,
,1.51,,,,,,,,
,0.93,1,0.86,,,,,,
,0.4,,,,,,,,
,-0.08,,,,23.6,,,,
,23.03,,,,,,,,
,22.4,,,,,,,,
,21.8,,,,,,,,
,21.27,,,,,,,,
,20.68,,,,,,,,
,20.14,1,20.07,,,,,,
,19.6,,,,,,,,
,19.03,,,,,,,,
,18.37,,,,,,,,
,17.77,,,,,,,,
,17.23,,,,,,,,
,16.69,,,,,,,,
,16.18,1,16.04,,,,,,
,15.51,,,,,,,,
,14.84,,,,,,,,
,14.3,,,,,,,,
,13.66,,,,,,,,
,13.11,,,,,,,,
,12.55,,,,,,,,
,11.88,1,11.78,,,,,,
,11.24,,,,,,,,
,10.6,,,,,,,,
,10.05,,,,,,,,
,9.48,,,,,,,,
,8.93,,,,,,,,
,8.23,,,,,,,,
,7.57,,,,,,,,
,6.99,,,,,,,,
,6.45,,,,,,,,
,5.84,,,,,,,,
,5.23,,,,,,,,
,4.61,1,4.51,,,,,,
,3.96,,,,,,,,
,3.37,,,,,,,,
,2.75,,,,,,,,
,2.22,,,,,,,,
,1.65,,,,,,,,
,1.06,,,,,,,,
,0.59,,,,,,,,
,0.39,,,,,,,,
,0.33,,,,,,,,
,0.32,,,,,,,,
,0.32,,,,,,,,
,0.35,,,,,,,,
,0.37,,,,,,,,
,0.37,,,,,,,,
,0.37,,,,,,,,
,0.36,,,,,,,,
