brand,name,shifterPartNumber,shifterName,shifterBrand,shifterSpeeds,shifterCablePull,shifterType,shifterSide,derailleurPartNumber,derailleurName,derailleurBrand,derailleurDesignSpeeds,derailleurPullRatio,derailleurSupportsMultipleFrontChainrings,cassettePartNumber,cassetteName,cassetteBrand,cassetteSpeeds,cassettePitch,cassetteMinMaxToothAvailable,cassetteMaxToothAvailable,confidence,supported,confidence_too_low,max_chain_angle_too_high,barrel_adjuster_too_low,least_pull_too_low,not_enough_range_on_derailleur,smallest_cassette_too_big_official_max_tooth,smallest_cassette_too_big_unofficial_max_tooth,smallest_cassette_too_big_with_goat_link,smallest_cassette_too_big,maxChainAngle,motionMultiplier
Campagnolo,Campagnolo Daytona 9-Speed shifter/Ekar 13-Speed derailleur/9-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD21-EK13,Ekar,Campagnolo,13,1.28,False,CS-LG300-9,LinkGlide 9-Speed,Shimano,9,4.05,36,46,0.025687584373785852,False,True,False,False,False,False,False,,,False,0.46497681451103695,1.0787826675744137
Campagnolo,Campagnolo Daytona 9-Speed shifter/Ekar 13-Speed derailleur/10-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD21-EK13,Ekar,Campagnolo,13,1.28,False,generic-10-speed,Generic 10-Speed,Generic,10,3.95,,48,0.33213312449123,False,False,False,False,False,False,False,,,False,0.060716472785851405,1.0521460584985025
Campagnolo,Campagnolo Daytona 9-Speed shifter/Ekar 13-Speed derailleur/10-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD21-EK13,Ekar,Campagnolo,13,1.28,False,CS-LG300-10,LinkGlide 10-Speed,Shimano,10,4.05,39,48,0.025687584373785852,False,True,False,False,False,False,False,,,False,0.45554158930928496,1.0787826675744137
Campagnolo,Campagnolo Daytona 9-Speed shifter/Ekar 13-Speed derailleur/10-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD21-EK13,Ekar,Campagnolo,13,1.28,False,CS-HG-500-10,Shimano 10-Speed,Shimano,10,3.96,,34,0.273107725403599,False,False,False,False,False,False,False,,,False,0.07186172277986132,1.0548097194060935
Campagnolo,Campagnolo Daytona 9-Speed shifter/Ekar 13-Speed derailleur/10-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD21-EK13,Ekar,Campagnolo,13,1.28,False,CS-PG-1050-A1,SRAM 10-Speed,SRAM,10,4.05,,36,0.025687584373785852,False,True,False,False,False,False,False,,,False,0.4674855526222021,1.0787826675744137
Campagnolo,Campagnolo Daytona 9-Speed shifter/Ekar 13-Speed derailleur/11-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD21-EK13,Ekar,Campagnolo,13,1.28,False,sram-11-speed,SRAM 11-speed,SRAM,11,3.72,,51,0.05352642721635309,False,False,False,False,False,False,False,,,False,0.24885337601817872,0.990881857623906
Campagnolo,Campagnolo Daytona 9-Speed shifter/Ekar 13-Speed derailleur/11-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD21-EK13,Ekar,Campagnolo,13,1.28,False,shimano-11-speed,Shimano 11-speed,Shimano,11,3.75,,51,0.12058412649155302,False,False,False,False,False,False,False,,,False,0.14488337965732587,0.9988728403466794
Campagnolo,Campagnolo Daytona 9-Speed shifter/Ekar 13-Speed derailleur/12-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD21-EK13,Ekar,Campagnolo,13,1.28,False,CS-PG-1210-A1,Eagle 12-Speed,SRAM,12,3.65,50,52,0.0049020201045757465,False,True,False,False,False,False,True,,,True,0.3881647103655409,0.972236231270768
Mixed,Campagnolo Daytona 9-Speed shifter/Shimano 105 11-Speed derailleur/9-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-5800,105,Shimano,11,1.45,True,CS-LG300-9,LinkGlide 9-Speed,Shimano,9,4.05,36,46,0.00024758649484009576,False,True,False,False,False,False,True,,,True,0.9519575493318884,0.9542541069938442
Mixed,Campagnolo Daytona 9-Speed shifter/Shimano 105 11-Speed derailleur/10-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-5800,105,Shimano,11,1.45,True,generic-10-speed,Generic 10-Speed,Generic,10,3.95,,48,1.7507871379540052e-06,False,True,True,False,False,False,False,,,False,1.1812169493602815,0.9306922771915271
Mixed,Campagnolo Daytona 9-Speed shifter/Shimano 105 11-Speed derailleur/10-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-5800,105,Shimano,11,1.45,True,CS-LG300-10,LinkGlide 10-Speed,Shimano,10,4.05,39,48,0.00024758649484009576,False,True,False,False,False,False,True,,,True,0.9894751350193629,0.9542541069938442
Mixed,Campagnolo Daytona 9-Speed shifter/Shimano 105 11-Speed derailleur/10-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-5800,105,Shimano,11,1.45,True,CS-HG-500-10,Shimano 10-Speed,Shimano,10,3.96,,34,3.0311464073993684e-06,False,True,True,False,False,False,False,,,False,1.2243987599872561,0.9330484601717588
Mixed,Campagnolo Daytona 9-Speed shifter/Shimano 105 11-Speed derailleur/10-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-5800,105,Shimano,11,1.45,True,CS-PG-1050-A1,SRAM 10-Speed,SRAM,10,4.05,,36,0.00024758649484009576,False,True,False,False,False,False,False,,,False,0.6981030783490473,0.9542541069938442
Mixed,Campagnolo Daytona 9-Speed shifter/Shimano 105 11-Speed derailleur/11-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-5800,105,Shimano,11,1.45,True,sram-11-speed,SRAM 11-speed,SRAM,11,3.72,,51,2.0432279395549002e-13,False,True,True,False,False,False,False,,,False,2.192453643066845,0.8765000686461978
Mixed,Campagnolo Daytona 9-Speed shifter/Shimano 105 11-Speed derailleur/11-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-5800,105,Shimano,11,1.45,True,shimano-11-speed,Shimano 11-speed,Shimano,11,3.75,,51,2.3618670943392548e-12,False,True,True,False,False,False,False,,,False,2.06138347703603,0.8835686175868929
Mixed,Campagnolo Daytona 9-Speed shifter/Shimano 105 11-Speed derailleur/12-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-5800,105,Shimano,11,1.45,True,CS-PG-1210-A1,Eagle 12-Speed,SRAM,12,3.65,50,52,4.424978559359585e-16,False,True,True,False,False,False,True,,,True,2.404515182474992,0.8600067877845756
Mixed,Campagnolo Daytona 9-Speed shifter/Shimano CUES 10-Speed derailleur/9-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-U6020-10,CUES,Shimano,10,1.06,True,CS-LG300-9,LinkGlide 9-Speed,Shimano,9,4.05,36,46,3.741858834901328e-39,False,True,True,False,False,False,False,,,False,3.5046460787914597,1.3070416931227418
Mixed,Campagnolo Daytona 9-Speed shifter/Shimano CUES 10-Speed derailleur/10-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-U6020-10,CUES,Shimano,10,1.06,True,generic-10-speed,Generic 10-Speed,Generic,10,3.95,,48,5.899262808359713e-31,False,True,True,False,False,False,False,,,False,2.878973904874154,1.2747690587246494
Mixed,Campagnolo Daytona 9-Speed shifter/Shimano CUES 10-Speed derailleur/10-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-U6020-10,CUES,Shimano,10,1.06,True,CS-LG300-10,LinkGlide 10-Speed,Shimano,10,4.05,39,48,3.741858834901328e-39,False,True,True,False,False,False,False,,,False,3.4716279251588245,1.3070416931227418
Mixed,Campagnolo Daytona 9-Speed shifter/Shimano CUES 10-Speed derailleur/10-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-U6020-10,CUES,Shimano,10,1.06,True,CS-HG-500-10,Shimano 10-Speed,Shimano,10,3.96,,34,9.916280249109424e-32,False,True,True,False,False,False,False,,,False,2.934638611749606,1.2779963221644586
Mixed,Campagnolo Daytona 9-Speed shifter/Shimano CUES 10-Speed derailleur/10-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-U6020-10,CUES,Shimano,10,1.06,True,CS-PG-1050-A1,SRAM 10-Speed,SRAM,10,4.05,,36,3.741858834901328e-39,False,True,True,False,False,False,False,,,False,3.484684902602041,1.3070416931227418
Mixed,Campagnolo Daytona 9-Speed shifter/Shimano CUES 10-Speed derailleur/11-Speed cassette,campagnolo-daytona-9-speed-right,Daytona,Campagnolo,9,2.93,drop-bar,right,RD-U6020-10,CUES,Shimano,10,1.06,True,sram-11-speed,SRAM 11-speed,SRAM,11,3.72,,51,1.311677228758673e-15,False,True,True,False,False,False,False,,,False,1.977521998745761,1.200541999609037
