Set,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
Run,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Direction,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing
Date,1/19/2025,1/19/2025,1/19/2025,1/19/2025,1/19/2025,1/19/2025,1/19/2025,1/19/2025,1/19/2025,1/19/2025,1/19/2025,1/19/2025,1/19/2025,1/19/2025,1/19/2025,1/19/2025,1/19/2025,1/19/2025,1/19/2025,1/19/2025,1/19/2025,1/19/2025,1/19/2025,1/19/2025
14 (least pull),,24.34,,24.34,,24.34,,24.35,,24.35,,24.36,,,,,,,,,,,,
13,22.28,22.29,22.25,22.3,22.24,22.3,22.12,22.31,22.12,22.31,22.19,22.31,,,,,,,,,,,,
12,20.12,20.13,20.07,20.15,20.05,20.15,20.02,20.14,19.98,20.14,20.07,20.14,,24.58,,24.58,,24.57,,24.57,,24.58,,24.58
11,17.86,17.88,17.85,17.88,17.74,17.9,17.77,17.88,17.74,17.87,17.8,17.88,22.26,22.44,22.36,22.44,22.27,22.44,22.28,22.44,22.34,22.44,22.34,22.45
10,15.54,15.62,15.54,15.61,15.48,15.59,15.45,15.59,15.45,15.58,15.44,15.6,20.07,20.2,20.14,20.19,20.07,20.19,20.05,20.2,20.08,20.2,20.08,20.2
9,13.42,13.37,13.26,13.35,13.17,13.37,13.16,13.36,13.18,13.35,13.21,13.36,17.75,17.91,17.83,17.9,17.78,17.9,17.75,17.9,17.78,17.9,17.84,17.91
8,11.05,11.06,10.95,11.09,10.91,11.12,10.92,11.12,10.92,11.1,10.92,11.11,15.49,15.65,15.47,15.65,15.48,15.62,15.5,15.66,15.47,15.64,15.46,15.66
7,8.7,8.84,8.7,8.95,8.66,8.89,8.67,8.89,8.66,8.88,8.67,8.87,13.2,13.39,13.2,13.36,13.21,13.34,13.25,13.38,13.21,13.36,13.21,13.37
6,6.42,6.66,6.43,6.79,6.35,6.79,6.37,6.79,6.36,6.79,6.36,6.79,10.95,11.15,10.95,11.14,10.95,11.1,10.96,11.15,10.96,11.12,10.95,11.15
5,4.11,4.48,4.11,4.48,4.09,4.51,4.14,4.48,4.1,4.52,4.1,4.49,8.66,9.09,8.7,9.07,8.68,9.06,8.68,9.06,8.69,8.93,8.66,8.95
4,1.79,2.27,1.81,2.28,1.78,2.26,1.79,2.27,1.79,2.25,1.79,2.28,6.41,6.8,6.42,6.81,6.41,6.79,6.41,6.78,6.4,6.78,6.38,6.79
3,-0.42,,-0.33,,-0.46,,-0.45,,-0.44,,-0.46,,4.1,4.57,4.11,4.57,4.09,4.57,4.1,4.57,4.1,4.58,4.1,4.57
2,,,,,,,,,,,,,2.16,2.3,1.95,2.31,1.85,2.3,1.87,2.32,1.86,2.3,1.86,2.29
1 (most pull),,,,,,,,,,,,,-0.01,,0.01,,0.02,,0.01,,0.01,,0.01,
