Set,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
Run,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Direction,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing
Date,10/6/2024 17:38,10/6/2024 17:38,10/6/2024 17:38,10/6/2024 17:38,10/6/2024 17:38,10/6/2024 17:38,10/6/2024 17:38,10/6/2024 17:38,10/6/2024 17:38,10/6/2024 17:38,10/6/2024 17:38,10/6/2024 17:38,10/6/2024 17:44,10/6/2024 17:44,10/6/2024 17:44,10/6/2024 17:44,10/6/2024 17:44,10/6/2024 17:44,10/6/2024 17:44,10/6/2024 17:44,10/6/2024 17:44,10/6/2024 17:44,10/6/2024 17:44,10/6/2024 17:44
13 (least pull),,24.88,,24.82,,24.85,,24.86,,24.97,,24.95,,,,,,,,,,,,
12,21.43,22.01,21.43,22.01,21.41,21.98,21.29,21.97,21.3,22.1,21.39,22.06,,,,,,,,,,,,
11,19.42,19.33,19.34,19.36,19.27,19.33,19.3,19.35,19.31,19.39,19.4,19.36,,25.07,,25.08,,25.07,,25.07,,25.07,,25.08
10,16.79,16.75,16.8,16.75,16.8,16.74,16.78,16.75,16.78,16.8,16.78,16.8,22.35,22.49,22.44,22.48,22.43,22.49,22.42,22.48,22.39,22.47,22.4,22.49
9,14.36,14.38,14.35,14.36,14.36,14.38,14.36,14.35,14.36,14.4,14.36,14.4,20.04,20.09,20.06,20.07,20.04,20.08,20.05,20.08,20.04,20.07,20.05,20.08
8,11.83,11.89,11.82,11.9,11.83,11.89,11.83,11.87,11.83,11.93,11.83,11.93,17.52,17.61,17.52,17.59,17.53,17.61,17.52,17.61,17.53,17.6,17.52,17.59
7,9.59,9.54,9.58,9.55,9.59,9.53,9.58,9.57,9.6,9.6,9.58,9.54,15.27,15.28,15.28,15.28,15.27,15.28,15.28,15.29,15.27,15.27,15.28,15.26
6,7.28,7.26,7.27,7.26,7.27,7.24,7.27,7.28,7.28,7.27,7.28,7.25,12.94,12.96,12.95,12.94,12.94,12.95,12.95,12.94,12.94,12.95,12.95,12.96
5,4.96,4.94,4.96,4.92,4.96,4.92,4.96,4.97,4.96,4.97,4.96,5.06,10.63,10.64,10.63,10.63,10.63,10.64,10.63,10.61,10.63,10.63,10.63,10.65
4,2.53,2.6,2.53,2.49,2.53,2.47,2.53,2.55,2.53,2.63,2.53,2.53,8.21,8.18,8.21,8.14,8.21,8.14,8.21,8.16,8.22,8.19,8.22,8.21
3,0.09,,0.1,,0.09,,0.09,,0.09,,0.1,,5.77,5.62,5.77,5.56,5.77,5.62,5.78,5.57,5.78,5.57,5.77,5.61
2,,,,,,,,,,,,,3.19,3.18,3.18,3.11,3.18,3.14,3.19,3.2,3.2,3.06,3.19,3.09
1 (most pull),,,,,,,,,,,,,-0.02,,-0.02,,-0.01,,-0.01,,-0.01,,-0.01,
