Set,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
Run,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Direction,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing
Date,8/26/2024 18:45,8/26/2024 18:45,8/26/2024 18:45,8/26/2024 18:45,8/26/2024 18:45,8/26/2024 18:45,8/26/2024 18:45,8/26/2024 18:45,8/26/2024 18:45,8/26/2024 18:45,8/26/2024 18:45,8/26/2024 18:45,8/26/2024 18:50,8/26/2024 18:50,8/26/2024 18:50,8/26/2024 18:50,8/26/2024 18:50,8/26/2024 18:50,8/26/2024 18:50,8/26/2024 18:50,8/26/2024 18:50,8/26/2024 18:50,8/26/2024 18:50,8/26/2024 18:50
10 (least pull),23.8,23.83,,23.82,,23.83,,23.82,,23.83,,23.84,,,,,,,,,,,,
9,19.98,20.14,20,20.13,20.01,20.13,20,20.13,20,20.13,20.01,20.13,,,,,,,,,,,,
8,16.54,16.74,16.57,16.76,16.57,16.72,16.57,16.72,16.57,16.74,16.57,16.73,24.92,24.96,,24.96,,24.96,,24.95,,24.96,,24.95
7,13.4,13.58,13.42,13.56,13.44,13.55,13.44,13.56,13.42,13.56,13.43,13.55,21.65,21.79,21.67,21.78,21.64,21.79,21.65,21.77,21.65,21.79,21.66,21.79
6,10.11,10.29,10.09,10.26,10.11,10.25,10.14,10.26,10.11,10.28,10.14,10.27,18.34,18.48,18.33,18.47,18.33,18.5,18.33,18.47,18.32,18.49,18.36,18.5
5,6.68,6.82,6.7,6.84,6.71,6.79,6.73,6.83,6.7,6.85,6.7,6.83,14.89,15,14.88,15.03,14.91,15.04,14.9,15.03,14.91,15.04,14.93,15.04
4,3.39,3.5,3.39,3.5,3.39,3.5,3.39,3.49,3.4,3.49,3.39,3.49,11.57,11.69,11.57,11.7,11.59,11.71,11.6,11.72,11.59,11.72,11.6,11.71
3,-0.14,,-0.14,,-0.14,,-0.14,,-0.13,,-0.13,,8.05,8.2,8.05,8.21,8.07,8.2,8.06,8.21,8.08,8.2,8.07,8.21
2,,,,,,,,,,,,,4.38,4.43,4.39,4.44,4.39,4.43,4.4,4.46,4.41,4.45,4.41,4.45
1 (most pull),,,,,,,,,,,,,-0.08,,-0.06,,-0.05,,-0.05,,-0.04,,-0.04,
