Set,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3
Run,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
Direction,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing
Date/Time,5/25/2024 7:47,5/25/2024 7:47,5/25/2024 7:47,5/25/2024 7:47,5/25/2024 7:47,5/25/2024 7:47,5/25/2024 7:47,5/25/2024 7:47,5/25/2024 7:47,5/25/2024 7:47,5/25/2024 7:47,5/25/2024 7:47,5/25/2024 8:24,5/25/2024 8:24,5/25/2024 8:24,5/25/2024 8:24,5/25/2024 8:24,5/25/2024 8:24,5/25/2024 8:24,5/25/2024 8:24,5/25/2024 8:24,5/25/2024 8:24,5/25/2024 8:24,5/25/2024 8:24,5/25/2024 9:04,5/25/2024 9:04,5/25/2024 9:04,5/25/2024 9:04,5/25/2024 9:04,5/25/2024 9:04,5/25/2024 9:04,5/25/2024 9:04,5/25/2024 9:04,5/25/2024 9:04,5/25/2024 9:04,5/25/2024 9:04
12 (least pull),,26.22,,26.23,,26.23,,26.23,,26.23,,26.23,,,,,,,,,,,,,,22.71,,22.71,,22.71,,22.75,,22.75,,22.74
11,22.09,22.26,22.09,22.26,22.1,22.27,22.11,22.27,22.09,22.27,22.09,22.28,,,,,,,,,,,,,18.56,18.8,18.58,18.8,18.58,18.8,18.56,18.81,18.58,18.8,18.57,18.8
10,18.89,19.04,18.9,19.04,18.89,19.05,18.91,19.05,18.9,19.05,18.91,19.05,,,,,,,,,,,,,15.46,15.65,15.45,15.65,15.46,15.64,15.46,15.65,15.45,15.65,15.47,15.64
9,15.72,15.83,15.73,15.84,15.74,15.84,15.74,15.85,15.74,15.84,15.75,15.85,,,,,,,,,,,,,12.38,12.49,12.37,12.5,12.39,12.5,12.37,12.49,12.37,12.5,12.38,12.5
8,12.64,12.72,12.66,12.72,12.67,12.73,12.67,12.73,12.67,12.73,12.67,12.73,,24.3,,24.29,,24.31,,24.32,,24.32,,24.32,9.3,9.39,9.3,9.39,9.3,9.4,9.3,9.39,9.3,9.4,9.31,9.38
7,9.57,9.62,9.58,9.63,9.59,9.63,9.59,9.64,9.59,9.63,9.59,9.64,21.07,21.2,21.09,21.19,21.09,21.2,21.1,21.2,21.1,21.22,21.12,21.22,6.24,6.32,6.24,6.31,6.24,6.31,6.24,6.32,6.24,6.32,6.24,6.32
6,6.47,6.51,6.48,6.52,6.48,6.52,6.49,6.51,6.49,6.52,6.49,6.51,17.98,18.06,17.99,18.06,18,18.07,18,18.08,18,18.09,18.01,18.09,3.14,3.19,3.14,3.2,3.14,3.19,3.14,3.19,3.14,3.2,3.14,3.2
5,3.28,3.33,3.29,3.33,3.3,3.33,3.3,3.33,3.3,3.33,3.31,3.33,14.79,14.86,14.8,14.87,14.8,14.88,14.81,14.88,14.82,14.89,14.82,14.89,-0.04,,-0.04,,-0.04,,-0.04,,-0.04,,-0.04,
4,0.04,,0.05,,0.05,,0.06,,0.06,,0.06,,11.48,11.56,11.51,11.56,11.51,11.58,11.51,11.59,11.52,11.58,11.52,11.59,,,,,,,,,,,,
3,,,,,,,,,,,,,8.07,8.14,8.09,8.16,8.1,8.15,8.1,8.16,8.11,8.17,8.11,8.18,,,,,,,,,,,,
2,,,,,,,,,,,,,4.36,4.42,4.37,4.42,4.38,4.44,4.38,4.44,4.39,4.45,4.38,4.45,,,,,,,,,,,,
1 (most pull),,,,,,,,,,,,,-0.01,,0,,0.01,,0.01,,0.01,,0.02,,,,,,,,,,,,,
