Set,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Run,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Direction,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing
Date,1/19/2025,1/19/2025,1/19/2025,1/19/2025,1/19/2025,1/19/2025,1/19/2025,1/19/2025,1/19/2025,1/19/2025,1/19/2025,1/19/2025,1/19/2025,1/19/2025,1/19/2025,1/19/2025,1/19/2025,1/19/2025,1/19/2025,1/19/2025,1/19/2025,1/19/2025,1/19/2025,1/19/2025,1/19/2025,1/19/2025,1/19/2025,1/19/2025
12 (least pull),,24.52,,24.52,,24.53,,24.49,,24.55,,24.5,,24.54,,,,,,,,,,,,,,
11,19.82,19.82,19.77,19.83,19.77,19.86,19.8,19.79,19.77,19.85,19.81,19.81,19.76,19.82,,,,,,,,,,,,,,
10,17.38,17.37,17.32,17.38,17.36,17.42,17.35,17.35,17.34,17.41,17.38,17.36,17.32,17.37,,23.07,,23.11,,23.05,,23.08,,23.07,,23.08,,23.12
9,14.88,14.87,14.82,14.88,14.85,14.91,14.84,14.85,14.84,14.9,14.89,14.86,14.82,14.88,20.52,20.57,20.54,20.61,20.56,20.55,20.53,20.58,20.57,20.56,20.54,20.57,20.55,20.61
8,12.4,12.37,12.33,12.38,12.38,12.41,12.34,12.36,12.35,12.41,12.37,12.36,12.35,12.39,18.01,18.06,18.05,18.1,18.04,18.04,18.02,18.08,18.07,18.06,18.01,18.06,18.04,18.11
7,9.92,9.91,9.89,9.92,9.94,9.95,9.87,9.89,9.91,9.96,9.92,9.9,9.89,9.93,15.54,15.6,15.57,15.62,15.57,15.55,15.56,15.62,15.6,15.58,15.54,15.59,15.58,15.64
6,7.42,7.4,7.39,7.42,7.44,7.44,7.38,7.4,7.41,7.45,7.4,7.39,7.4,7.43,13.03,13.08,13.08,13.1,13.04,13.04,13.04,13.1,13.08,13.07,13.02,13.07,13.06,13.12
5,4.93,4.92,4.91,4.94,4.96,4.96,4.89,4.91,4.93,4.97,4.91,4.91,4.92,4.95,10.53,10.58,10.58,10.6,10.53,10.54,10.55,10.6,10.57,10.57,10.52,10.57,10.57,10.61
4,2.42,2.43,2.43,2.45,2.46,2.47,2.41,2.42,2.46,2.48,2.41,2.42,2.44,2.47,8.04,8.09,8.09,8.11,8.03,8.06,8.07,8.12,8.07,8.06,8.03,8.08,8.09,8.12
3,-0.05,,-0.03,,-0.02,,-0.06,,-0.01,,-0.06,,-0.01,,5.56,5.6,5.6,5.62,5.54,5.57,5.59,5.63,5.57,5.59,5.54,5.59,5.59,5.61
2,,,,,,,,,,,,,,,3.13,3.16,3.15,3.17,3.1,3.12,3.15,3.19,3.11,3.13,3.1,3.14,3.15,3.17
1 (most pull),,,,,,,,,,,,,,,0,,0,,-0.04,,0.01,,-0.04,,-0.02,,0,
