Set,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
Run,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Direction,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing
Date/Time,5/24/2024 19:04,5/24/2024 19:04,5/24/2024 19:04,5/24/2024 19:04,5/24/2024 19:04,5/24/2024 19:04,5/24/2024 19:04,5/24/2024 19:04,5/24/2024 19:04,5/24/2024 19:04,5/24/2024 19:04,5/24/2024 19:04,5/24/2024 19:09,5/24/2024 19:09,5/24/2024 19:09,5/24/2024 19:09,5/24/2024 19:09,5/24/2024 19:09,5/24/2024 19:09,5/24/2024 19:09,5/24/2024 19:09,5/24/2024 19:09,5/24/2024 19:09,5/24/2024 19:09
9 (least pull),,26.79,,26.8,,26.8,,26.8,,26.8,,26.81,,,,,,,,,,,,
8,21.85,21.95,21.85,21.95,21.87,21.96,21.87,21.96,21.87,21.97,21.88,21.97,,25.01,,25.02,,25,,25.01,,25.02,,25.02
7,18.18,18.3,18.19,18.29,18.2,18.32,18.19,18.33,18.21,18.3,18.21,18.31,21.22,21.37,21.24,21.36,21.23,21.36,21.23,21.35,21.24,21.38,21.24,21.38
6,14.58,14.7,14.6,14.71,14.61,14.71,14.61,14.71,14.61,14.72,14.61,14.73,17.63,17.75,17.63,17.75,17.63,17.75,17.62,17.77,17.66,17.76,17.65,17.76
5,11.05,11.18,11.08,11.2,11.08,11.2,11.11,11.21,11.09,11.2,11.1,11.21,14.12,14.24,14.12,14.25,14.12,14.25,14.12,14.25,14.14,14.25,14.13,14.25
4,7.54,7.67,7.57,7.67,7.58,7.68,7.58,7.68,7.59,7.68,7.59,7.68,10.59,10.7,10.59,10.71,10.58,10.71,10.6,10.71,10.6,10.7,10.6,10.71
3,4.04,4.14,4.05,4.15,4.06,4.15,4.06,4.16,4.06,4.16,4.08,4.17,7.07,7.16,7.07,7.17,7.07,7.17,7.08,7.18,7.08,7.17,7.08,7.18
2,0.5,,0.51,,0.52,,0.53,,0.53,,0.53,,3.53,3.6,3.53,3.61,3.54,3.61,3.54,3.61,3.54,3.61,3.55,3.61
1 (most pull),,,,,,,,,,,,,-0.03,,-0.03,,-0.03,,-0.03,,-0.02,,-0.02,
