Set,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
Run,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Direction,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing
Date/Time,6/11/2024 17:36,6/11/2024 17:36,6/11/2024 17:36,6/11/2024 17:36,6/11/2024 17:36,6/11/2024 17:36,6/11/2024 17:36,6/11/2024 17:36,6/11/2024 17:36,6/11/2024 17:36,6/11/2024 17:36,6/11/2024 17:36,6/11/2024 17:43,6/11/2024 17:43,6/11/2024 17:43,6/11/2024 17:43,6/11/2024 17:43,6/11/2024 17:43,6/11/2024 17:43,6/11/2024 17:43,6/11/2024 17:43,6/11/2024 17:43,6/11/2024 17:43,6/11/2024 17:43
11 (least pull),,24.59,,24.59,,24.59,,24.6,,24.6,,24.6,,,,,,,,,,,,
10,20.36,20.41,20.37,20.42,20.37,20.42,20.37,20.42,20.37,20.43,20.38,20.42,,,,,,,,,,,,
9,16.9,16.97,16.92,16.98,16.91,16.98,16.92,16.98,16.92,16.99,16.92,16.99,,,,,,,,,,,,
8,13.49,13.56,13.51,13.57,13.51,13.57,13.51,13.57,13.51,13.58,13.52,13.58,,23.99,,23.99,,24,,24.01,,24,,24.01
7,10.08,10.13,10.09,10.14,10.09,10.14,10.09,10.14,10.09,10.15,10.09,10.15,20.5,20.57,20.52,20.57,20.52,20.58,20.52,20.58,20.53,20.58,20.53,20.58
6,6.69,6.75,6.7,6.76,6.7,6.77,6.71,6.77,6.71,6.77,6.71,6.77,17.13,17.2,17.14,17.21,17.15,17.21,17.15,17.22,17.15,17.21,17.15,17.21
5,3.32,3.39,3.33,3.4,3.34,3.4,3.34,3.4,3.34,3.41,3.34,3.41,13.75,13.83,13.76,13.83,13.76,13.84,13.76,13.84,13.76,13.84,13.76,13.84
4,-0.05,,-0.04,,-0.04,,-0.04,,-0.03,,-0.03,,10.36,10.44,10.37,10.44,10.38,10.44,10.38,10.45,10.38,10.44,10.38,10.44
3,,,,,,,,,,,,,6.97,7.03,6.98,7.04,6.98,7.04,6.98,7.04,6.98,7.04,6.98,7.04
2,,,,,,,,,,,,,3.6,3.66,3.6,3.66,3.61,3.66,3.61,3.67,3.61,3.67,3.61,3.67
1 (most pull),,,,,,,,,,,,,-0.03,,-0.02,,-0.01,,-0.01,,-0.01,,-0.01,
