Set,1,1,1,1,1,1,1,1,1,1,1,1
Run,1,2,3,4,5,6,7,8,9,10,11,12
Direction,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing
Date,1/5/2025,1/5/2025,1/5/2025,1/5/2025,1/5/2025,1/5/2025,1/5/2025,1/5/2025,1/5/2025,1/5/2025,1/5/2025,1/5/2025
10 (least pull),,24.62,,24.61,,24.61,,24.6,,24.6,,24.6
9,21.36,21.43,21.37,21.44,21.37,21.43,21.38,21.43,21.37,21.44,21.38,21.44
8,18.59,18.66,18.6,18.66,18.6,18.67,18.6,18.67,18.62,18.67,18.61,18.67
7,15.94,16.02,15.95,16.02,15.95,16.02,15.95,16.02,15.95,16.02,15.96,16.02
6,13.3,13.38,13.3,13.38,13.31,13.38,13.31,13.38,13.32,13.39,13.31,13.39
5,10.67,10.75,10.68,10.75,10.7,10.76,10.68,10.76,10.69,10.77,10.69,10.76
4,8.04,8.1,8.05,8.11,8.06,8.11,8.05,8.12,8.06,8.12,8.06,8.12
3,5.42,5.48,5.43,5.48,5.43,5.48,5.43,5.49,5.43,5.48,5.43,5.48
2,2.8,2.86,2.81,2.86,2.81,2.86,2.81,2.87,2.81,2.86,2.81,2.87
1 (most pull),0,,0,,0.01,,0.01,,0.01,,0.01,
