Set,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Run,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Direction,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing
Date,6/14/2024 7:23,6/14/2024 7:23,6/14/2024 7:23,6/14/2024 7:23,6/14/2024 7:23,6/14/2024 7:23,6/14/2024 7:23,6/14/2024 7:23,6/14/2024 7:23,6/14/2024 7:23,6/14/2024 7:23,6/14/2024 7:23,6/14/2024 7:23,6/14/2024 7:23,6/14/2024 7:23,6/14/2024 7:23,6/14/2024 7:23,6/14/2024 7:23,6/14/2024 7:23,6/14/2024 7:23,6/14/2024 7:23,6/14/2024 7:23,6/14/2024 7:23,6/14/2024 7:23
11 (least pull),25.68,25.69,,25.69,,25.68,,25.7,,25.7,,25.71,,25.71,,25.71,,25.71,,25.72,,25.71,,25.72
10,22.48,22.57,22.5,22.58,22.5,22.58,22.51,22.58,22.51,22.58,22.52,22.6,22.53,22.59,22.53,22.6,22.53,22.61,22.53,22.61,22.54,22.61,22.54,22.63
9,19.89,19.97,19.9,19.97,19.9,19.98,19.91,19.98,19.9,19.99,19.92,19.99,19.92,20,19.93,20,19.93,20.01,19.93,20.02,19.94,20.02,19.92,20.02
8,17.36,17.45,17.38,17.43,17.37,17.45,17.38,17.46,17.39,17.45,17.39,17.46,17.4,17.47,17.41,17.46,17.41,17.49,17.41,17.48,17.42,17.49,17.4,17.49
7,14.85,14.93,14.86,14.93,14.86,14.94,14.86,14.94,14.88,14.94,14.88,14.95,14.89,14.96,14.9,14.97,14.9,14.97,14.9,14.99,14.92,15,14.9,14.97
6,12.37,12.43,12.38,12.42,12.38,12.45,12.38,12.44,12.39,12.45,12.4,12.46,12.4,12.46,12.41,12.46,12.41,12.47,12.41,12.48,12.43,12.5,12.42,12.47
5,9.89,9.93,9.89,9.91,9.9,9.94,9.91,9.94,9.91,9.95,9.92,9.97,9.92,9.98,9.93,9.97,9.93,9.98,9.93,9.98,9.94,9.98,9.94,9.97
4,7.43,7.44,7.43,7.46,7.44,7.47,7.44,7.47,7.45,7.49,7.46,7.48,7.46,7.52,7.47,7.51,7.47,7.5,7.47,7.51,7.48,7.51,7.48,7.49
3,4.96,4.99,4.97,5.01,4.97,4.99,4.98,5.01,4.98,5.02,4.99,5.02,4.99,5.04,5,5.03,5,5.04,5.01,5.05,5.01,5.06,5.01,5.04
2,2.51,2.54,2.53,2.55,2.53,2.55,2.54,2.56,2.54,2.58,2.55,2.59,2.55,2.61,2.56,2.6,2.57,2.61,2.57,2.61,2.57,2.64,2.57,2.61
1 (most pull),0.03,,0.05,,0.04,,0.05,,0.06,,0.06,,0.06,,0.07,,0.08,,0.08,,0.09,,0.09,
