Set,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Run,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Direction,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing
Date/Time,6/11/2024 18:07,6/11/2024 18:07,6/11/2024 18:07,6/11/2024 18:07,6/11/2024 18:07,6/11/2024 18:07,6/11/2024 18:07,6/11/2024 18:07,6/11/2024 18:07,6/11/2024 18:07,6/11/2024 18:07,6/11/2024 18:07,6/11/2024 18:07,6/11/2024 18:07,6/11/2024 18:07,6/11/2024 18:07,6/11/2024 18:07,6/11/2024 18:07,6/11/2024 18:07,6/11/2024 18:07,6/11/2024 18:07,6/11/2024 18:07,6/11/2024 18:07,6/11/2024 18:07
10 (least pull),,23.55,,23.54,,23.55,,23.55,,23.55,,23.57,,23.56,,23.57,,23.57,,23.57,,23.58,,23.57
9,20.98,21.13,20.99,21.14,21,21.14,21,21.16,21,21.15,21.01,21.16,21.02,21.16,21.01,21.17,21.02,21.16,21.02,21.18,21.03,21.18,21.03,21.14
8,18.88,19.05,18.91,19.05,18.92,19.06,18.95,19.06,18.96,19.07,18.94,19.07,18.95,19.07,18.95,19.07,18.96,19.08,18.96,19.07,18.95,19.09,18.97,19.09
7,17.01,17.11,17,17.11,17.01,17.11,17.02,17.13,17.02,17.14,17.03,17.13,17.03,17.14,17.03,17.15,17.04,17.14,17.04,17.15,17.05,17.16,17.04,17.17
6,14.91,15.04,14.93,15.05,14.93,15.05,14.94,15.06,14.94,15.07,14.94,15.07,14.95,15.07,14.95,15.07,14.95,15.08,14.96,15.08,14.95,15.08,14.96,15.09
5,12.67,12.79,12.69,12.8,12.69,12.81,12.7,12.81,12.7,12.82,12.7,12.82,12.7,12.82,12.71,12.83,12.71,12.83,12.73,12.83,12.71,12.83,12.71,12.85
4,10.31,10.44,10.33,10.45,10.33,10.46,10.34,10.46,10.35,10.47,10.35,10.46,10.36,10.47,10.36,10.47,10.37,10.48,10.36,10.48,10.36,10.46,10.36,10.48
3,7.82,7.92,7.83,7.93,7.84,7.94,7.85,7.94,7.85,7.94,7.85,7.95,7.86,7.95,7.85,7.95,7.86,7.96,7.87,7.95,7.87,7.96,7.87,7.96
2,5.05,5.16,5.08,5.15,5.08,5.17,5.09,5.16,5.08,5.18,5.09,5.18,5.09,5.19,5.09,5.18,5.1,5.19,5.1,5.19,5.1,5.2,5.11,5.2
1 (most pull),1.62,,1.63,,1.62,,1.64,,1.64,,1.65,,1.66,,1.67,,1.66,,1.67,,1.67,,1.67,
