Set,1,1,1,1,1,1,1,1,1,1,1,1
Run,1,2,3,4,5,6,7,8,9,10,11,12
Direction,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing,Pulling,Relaxing
Date,1/19/2025,1/19/2025,1/19/2025,1/19/2025,1/19/2025,1/19/2025,1/19/2025,1/19/2025,1/19/2025,1/19/2025,1/19/2025,1/19/2025
11 (least pull),,25.55,,25.55,,25.56,,25.57,,25.58,,25.58
10,22.42,22.48,22.43,22.49,22.44,22.5,22.45,22.51,22.45,22.52,22.46,22.52
9,19.83,19.88,19.84,19.89,19.85,19.9,19.85,19.9,19.86,19.91,19.86,19.92
8,17.34,17.38,17.35,17.4,17.36,17.41,17.36,17.41,17.37,17.42,17.37,17.42
7,14.85,14.9,14.86,14.91,14.87,14.92,14.88,14.93,14.88,14.93,14.89,14.95
6,12.36,12.4,12.37,12.42,12.38,12.42,12.39,12.43,12.39,12.44,12.4,12.44
5,9.87,9.91,9.88,9.92,9.89,9.93,9.9,9.94,9.91,9.95,9.91,9.95
4,7.41,7.44,7.42,7.45,7.42,7.46,7.43,7.46,7.44,7.48,7.45,7.48
3,4.94,4.97,4.95,4.98,4.96,4.99,4.96,5,4.97,5,4.98,5.02
2,2.48,2.51,2.49,2.52,2.5,2.53,2.5,2.53,2.51,2.54,2.52,2.55
1 (most pull),0,,0.01,,0.03,,0.03,,0.04,,0.05,
